Act of Parliament	umThetho wePalamende
Africa Institute of South Africa	iHlangano ye-Afrika yeSewula Afrika
African American	Um-Amerika om-Afrika
African Christian Democratic Party	Ihlangano ye-African Christian Democratic Party
African Development Bank	Ibhanga eThuthukisa ama-Afrika
African Diaspora	Iphalalo lama-Afrika
African Economic Community	Umnotho womPhakathi wama-Afrika
African National Congress	I-African National Congress
African National Congress Youth League	Ihlangano yeLutjha le-African National Congress
African Union	Inyonyana ye-Afrika
African country	Inarha ye-Afrika
African language	Ilimi le-Afrika
African nationalist	Umsekeli-narha we-Afrika
African people	Abantu be-Afrika
African renaissance	Ukuvuselelwa kobu-Afrika
African state	Umbuso we-Afrika
African wild cat	ipaka
Agricultural Research Council	Ikhansela Erhubhulula kezoLimo
Ambassador of	Umzenda we-
Arts and Culture Trust	Ithrasti yobuKghwari namaSiko
Bantu Authorities Act	UmThetho we-Bantu Authorities
Basic Conditions of Employment Act	ImiThetho yesisekelo sabaSebenzi
Black Economic Empowerment	UkuThuthukiswa kwabaNzima ngomNotho
Board of Directors	Ibhodi yabaNqophisi
British High Commissioner	uKomitjhinara omKhulu weBritain
Broad-based Black Economic Empowerment Act	UmThetho i-Broad-based Black Economic Empowerment Act
Bureau of Heraldry	Ibhiro yezobuKghwari
Call of South Africa	Ivakatjho/Ukubizwa kweSewula Afrika
Central Energy Fund	IsiKhwama se-Eneji ePhakathi
Chamber of Mines	Ikundla yeeMayini
Chief Executive Officer	umPhathi wesiGungu oPhezulu
Chief Justice	umPhathi wamaJaji
Christian Democratic Party	Ihlangano yeChristian Democratic
Civil Rights Movement	umSikinyeko wamaLungelo wabaHlali
Coat of Arms	Isiphandla senarha
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Ikomitjhini yokuThuthukisa kanye nokuVikela amaLungelo wamaSiko, zeKolo
Commonwealth of Independent States	Ukuzijamela kwemiBuso yeentjhaba ezizijameleko
Congress of Democrats	iHlangano yabantu abakholelwa entandweni yenengi
Constitution of the Republic of South Africa	umThethosisekelo weRiphabliki yeSewula Afrika
Constitutional Assembly	umbuthano womthethosisekelo
Constitutional Court	Ikhotho yomthethosisekelo
Council for Scientific and Industrial Research	Ikhansela yeSayensi neRhubhululo kwezamaBubulo
Council of Ministers	Umkhandlu waboNgqongqotjhe
Council of Provinces	Umkhandlu wamaPhrovinsi/weemfunda
Council of Traditional Leaders	Umkhandlu wabaRholi beNdabuko
Cradle of Humankind	I-Cradle of Humankind
Criminal Procedure Act	uMthetho weKambiso yobuLelesi
Customs and Excise	umKhuba kanye nemiThelo yangaphakathi
Day of the Covenant	Ilanga lesiVumelwano
Democratic Alliance	IDemocratic Alliance
Democratic Party	Ihlangano yeDemocratic Party
Department of Justice	UmNyango wezoBulungiswa
Department of National Education	UmNyango weFundo yeliZwe loke
Department of State	umNyango womBuso
Department of Water Affairs	UmNyango weeNdaba zamaNzi
Deputy Speaker	Isekela likaSomlomo
Deputy Speaker of Parliament	Isekela likaSomlomo ePalamende
Director of Public Prosecution	umNqophisi weVikeleko lomPhakathi
Director of Public Prosecutions	abaNqophisi beVikeleko lomPhakathi
Dutch East India Company	I-Dutch East India Company
Dutch Reformed Church	I-Dutch Reformed Church
Eastern Cape	iPumalanga Kapa
Employment Equity Act	umThetho wokuQatjha ngokuLinganisa
Environmental Impact Assessment	Ukuhlola amandla kwezebhoduluko
European Union	Inyonyana ye-Eurpoe
Executive Council	umKhandlu wesiGungu
Financial Services Board	iBhodi yemiSebenzi yeeMali
Financial and Fiscal Commission	Ikomitjhani yeemali kanye nerevenyu yombuso
Fire Protection Association	iHlangano eVikela imiLilo
First World	Iphasi mazombe elithuthuke ngokwaneleko
First World War	Ipi yokuthoma yephasi mazombe
Foundation for Creative Arts	Isisekelo esimayelana nekghono lobuKghwari
Free State	i-Free State
Free State Stadium	Itatawu leFree State
Freedom Charter	Umtlolo onikela amalungelo wekululeko
Freedom Day	Ilanga leKululeko
Freedom Front	Ifreedom Front
Gauteng Provincial Government	Umbuso/uRhulumende wePhrovinsi ye-Gauteng
Heads of Diplomatic Missions	Iinhloko zamaMitjhini waboSomaqhinga
Health Professions Council of South Africa	Umkhandlu waboNesi eSewula Afrika
High Court	Ikhotho ePhakemeko
High Court of South Africa	iKhotho ePhakemeko yeSewula Afrika
Horn of Africa	Iphondo le-Afrika
House of Assembly	Indlu yesiBethamthetho
House of Commons	Indlu yabaHlanganisiweko
House of Delegates	Indlu yeenThunywa
House of Lords	Indlu yamaKholwa
House of Representatives	Indlu yabaJameli
Human sciences research	irhubhululo ngesayensi yabantu
Industrial Development Corporation	ikhamphani eThuthukisa ibubulo
Information Society and Development	ilwazi ngomphakathi nokuThuthukisa
Inkatha Freedom Party	Ihlangano i-Inkatha Freedom Party
International Labour Organisation	Ihlangano yemisebenzi yeentjhabatjhaba
International Monetary Fund	i-International Monetary Fund
International Olympic Committee	Ikomidi yemidlalo yeentjhabatjhaba
International Relations	Itjhebiswano elihlangana neenarha
International Telecommunications Union	Inyonyani yethungelelwano ngommoya kweentjhabatjhaba
Labour Relations Act	umThetho wobudlelwano kwezomsebenzi
Land Claims Court	Ikhotho yemibango yenarha
Language Task Group	Isiqhema esiqalelele ilimi
Member of Parliament	ilunga lepalamende
Minister of Education	UNgqongqotjhe wezeFundo
Minister of Justice	Ibhodi yemiKhawulo yaboMasipala
Minority Front	I-Minority Front
Municipal Demarcation Board	Umkhandlu wokumaketha zelimo enarheni
NCOP Committee	Ikomidi ye-NCOP
Natal Indian Congress	Ihlangano yeNatal India
National Agricultural Marketing Council	Imyuziyemu yomlando wamasiko enarheni
National Assembly	Indlu yesiBethamthetho seNarha
National Commissioner	Ikomitjhinara yesiTjhaba
National Cultural History Museum	Imyuziyemu yomlando wamasiko enarheni
National House of Traditional Leaders	Indlu yamakhosi
National Intelligence Agency	I-Ejensi yobuHlakani beNarha
National Marketing Council	Umkhandlu wokuMaketha enarheni
National Monuments Council	Umkhandlu  wamaTje weenKhumbuzo enarheni
National Party	Isiqhema seNational Party
National Qualifications Framework	I-National Qualifications Framework
National Revenue Fund	Isikhwama seRevenyu yenarha
National Swimming Federation	Ihlangano yokuDuda enarheni
National Training Board	Ibhodi eBandula isiTjhaba
New National Party	Isiqhema seNational Party eTja
Nkosi Sikelel' iAfrika	INkosi Sikelel' iAfrika
Nobel Peace Prize	Unongorwana we-Nobel Peace Prize
Northern Cape	Itlhagwini Kapa
Orange Free State	I-Orange Free State
Orange River Sovereignty	I-Orange River Sovereignty
Organisation for African Unity	Ihlangano yeBumbano lama-Afrika
Organisation of African	Ihlangano ye-Afrika
Organisation of African Unity	Ihlangano yeBumbano le-Afrika
Pan Africanist Congress of Azania	I-Pan Africanist Congress of Azania
People Against Gangsterism and Drugs	Abantu abalwisana nobuLelesi kanye neenDakamizwa
Perishable Products Export Control Board	IBhodi elawula imikhiqizo eyonakala msinya  ethunyelwa ngaphandle
