Act of Parliament	Molao wa Palamente
Adult Basic Education and Training	Thuto ya Motheo le Tlhahlo ya Batho ba bagolo
Africa Institute of South Africa	Sehlongwa sa tša Afrika sa Afrika Borwa
African American	Moafrika wa Amerika
African Christian Democratic Party	African Christian Democratic Party
African Cup of Nations	Sebjana sa Dinaga tša Afrika
African Development Bank	Pankatlhabollo ya Afrika
African Diaspora	Ditšhaba tše Hudugilego Afrika
African Economic Community	Setšhaba sa Ekonomi ya Afrika
African National Congress	African National Congress
African National Congress Youth League	Mokgatlo wa Bafsa wa African National Congress
African Union	Mokgatlo wa Selekane sa Afrika
African country	Naga ya Afrika
African language	Polelo ya Afrika, leleme la Afrika
African nationalist	Modudi wa Afrika
African people	Batho ba Afrika
African renaissance	Tsošološo ya Afrika
African state	Nagapušo ya Afrika
African wild cat	phaga
Agricultural Research Council	Lekgotla la Dinyakišišo tša Temo
Ambassador of	Motseta wa
Arts and Culture Trust	Thraste ya tša Bokgabo le Setšo
Bantu Authorities Act	Bantu Authorities Act
Basic Conditions of Employment Act	Basic Conditions of Employment Act
Black Consciousness Movement	Lesolo la Boikgopolo bja Bathobaso
Black Economic Empowerment	Maatlafatšo ya Bathobaso Ekonoming
Board of Directors	boto
British High Commissioner	Motsetamogolo wa Prithani
Broad-based Black Economic Empowerment Act	Broad-based Black Economic Empowerment Act
Bureau of Heraldry	Biro ya Dibetša le Dibetše
Call of South Africa	Boipiletšo bja Afrika Borwa
Central Energy Fund	Sekhwama sa Bogareng sa Enetši
Chamber of Mines	Lekgotla la Meepo
Chief Executive Officer	Mohlankedimogolophethiši
Chief Justice	Moahlodimogolo
Christian Democratic Party	Christian Democratic Party
Civil Rights Movement	Mokgatlo wa Ditokelo tša Badudi
Coat of Arms	Sefoka
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Khomišene ya Kgodišo le Tšhireletšo ya Ditokelo tša Ditšo, Bodumedi le Dipolelo tša Ditšhaba
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Khomišene ya Kgodišo le Tšhireletšo ya Ditokelo tša Ditšo, Bodumedi le Dipolelo tša Ditšhaba
Commission on Gender Equality	Khomišene ya Tekatekano ya Bong
Commission on Restitution of Land Rights	Khomišene ya Pušetšo ya Ditokelo tša Naga
