APRIL	MMESA; 
Africa	Aforika; 
Africa's	ya Afrika; 
African-American	Moamerika wa Afrika; 
Africans	Maafrika; 
Afrikaans	Seaforikanse; 
America	Amerika; 
American	Moamerika; 
April	Mmesa; 
Asian	Moashia; 
Audios	Tse utlwahalang; 
Auditor	Mohlahlobi wa dibuka; 
Auditor-General	Mohlakisi e Moholo; 
Bay	Kou; 
Beginner's	ya maithutwane; 
Boer	Leburu;  Rapolasi; 
Britain	Borithane; 
British	Ya Borithani; 
CEOs	Baofisiri ba baholo ba phethahatso ; 
Chairman	Modulasetulo; 
Christian	Mokreste; 
Christianity	Bokreste; 
Clerks	Ditlelereke; 
Commissioner	mmusisi; Komishenara; 
Confederations	ditlamahano; 
DECEMBER	TSHITWE; 
December	Tshitwe; 
Deregister	Tlhakolo ya ngodiso; 
Dome	Kgidikwenyane; 
Dominican	ya Dominiki; 
Dr	ngaka (ngk); 
Dutch	Fora; 
English	Senyesemane; 
Excellency	boitsebelo;  bohlwahlwa;  Boqhetseke; 
FEBRUARY	Tlhakola; 
FRIDAY	Labohlano; 
February	Hlakola; 
Federal	Bofederale; 
Filter	sefe; 
Fort	setshabelo; 
French	ya For a; Sefora; 
Friday	Labohlano; 
Fridays	Labohlano; 
Gazette	 Lesedinyana la mmuso; Gazette; 
German	Jeremane; 
Germany	Jeremane; 
Glossary	Glosari;  Tlelosari; tlotlontswe; 
God	Modimo; 
Guardian	Mohlokomedi; 
HIV-positive	na le tshwaetso ya HIV; 
Handbook	bukana; 
I'm	Ke; 
Indian	Moindia; 
Infecting	tshwaetsang; 
Interjections	malahlelwa; 
Islam	Moiselamo; 
Islamic	Sesolomane; 
Italy	Itali; 
JANUARY	Pherekgong; 
JULY	PHUPU; 
JUNE	PHUPJANE; 
January	Pherekgong; 
Jewish	ya Majode; Sejode; 
Jonathan	Jonathane; 
Jordan	Jorotane; 
Joseph	Joseph (Josefa); 
June	Phupjane; 
Keyword	lentswe la sehlooho; 
KwaZulu-Natal	KwaZulu-Natala; 
LinkedIn	hoketswe; 
MONDAY	MANTAHA; 
MR	Mohl.; 
Madam	Mofumahadi; 
Mama	Mme; 
Mandela's	ya Mandela; 
Mayor	Majoro; 
Meanwhile	 ka nako eo; kgabareng; 
