Act of Parliament	Molao wa Palamente
Adult Basic Education and Training	Thuto le Thupello ya Motheo ya Batho ba baholo
Africa Institute of South Africa	Africa Institute of South Africa
African American	Moamerika wa Moafrika
African Christian Democratic Party	African Christian Democratic Party
African Cup of Nations	Mohope wa Dinaha tsa Aforika
African Development Bank	African Development Bank
African Diaspora	Baahi ba bang ba Afrika
African Economic Community	Setjhaba sa Kgwebo ya Afrika
African National Congress	ANC
African National Congress Youth League	African National Congress Youth League
African Union	Kopano ya Afrika
African country	Naha ya Afrika
African language	Puo ya Afrika
African nationalist	Moahi wa Afrika
African people	Batho ba Afrika
African renaissance	Ntjhafatso ya Afrika
African state	Puso ya Afrika
African wild cat	qwabi
Agricultural Research Council	Lekgotla la Diphuputso tsa Temo
Ambassador of	Leqosa la
Arts and Culture Trust	Letlole la Bonono le Setho
Bantu Authorities Act	Molao wa Bolaodi ba Batho
Basic Conditions of Employment Act	Molao wa Maemo a Tshebetso
Black Consciousness Movement	BCM
Black Economic Empowerment	Matlafatso ya Kgwebo ya Batho ba Batsho
Board of Directors	Lekgotla la Balaodi
British High Commissioner	Mokomishenare ya Phahameng wa Borithane
Broad-based Black Economic Empowerment Act	Molao wa Matlafatso ya Broad-based ya Kgwebo ya Batho ba Batsho 
Bureau of Heraldry	Bureau of Heraldry
Call of South Africa	Pitso ya Afrika Borwa
Central Energy Fund	Letlole la Bohareng la Matla
Chamber of Mines	Lekgotla la Merafo
Chief Executive Officer	Moofisiri e Moholo wa Phethahatso
Chief Justice	Ratoka e Moholo
Christian Democratic Party	Christian Democratic Party
Civil Rights Movement	Lekgotla la Ditokelo tsa Setjhaba
Coat of Arms	Kola / sefoka
Commission for Conciliation, Mediation and Arbitration	CCMA
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Khomishene ya Phahamiso le tshireletso ya Ditokelo tsa Molao wa motheo wa Afrika Borwa wa Moetlo le Bodumedi
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Khomishene ya Ntshetsopele le Tshireletso ya Ditokelo tsa Ditjhabana ho ya ka Setso, Bodumedi le Puo
Commission on Gender Equality	CGE
Commission on Restitution of Land Rights	Khomishene ya Ditokelo tsa Kgutlisetso ya Naha
Commonwealth of Independent States	Moruo o tshwanang wa Dinaha tse ikemetseng
Congress of Democrats	Mokgatlo wa Didemokrate
Constitution of the Republic of South Africa	Molao wa motheo wa Afrika Borwa
Constitutional Assembly	Asembli ya Molao wa Motheo
Constitutional Court	Lekgotla la Molao wa Motheo
Council for Scientific and Industrial Research	Lekgotla la Diphuputso tsa Mahlale le Indasteri
Council of Ministers	Lekgotla la Matona
Council of Provinces	Lekgotla la Diprovense
Council of Traditional Leaders	Lekgotla la Marena a Botjhaba
Cradle of Humankind	Thari ya botho
Criminal Procedure Act	Molao wa Taolo ya Botlokotsebe
Customs and Excise	Ditlwaelo le phethahatso
Day of Reconciliation	Letsatsi la Poelano
Day of the Covenant	Letsatsi la Selekane
Democratic Alliance	Democratic Alliance
Democratic Party	Democratic Party
Department of Agriculture	Lefapha la Temo
Department of Arts and Culture	Lefapha la Bonono le Setho
Department of Communications	Lefapha la Dikgokahanyo
Department of Correctional Services	Lefapha la Ditshebeletso tsa Tshokollo ya Batshwaruwa
Department of Defence	Lefapha la Tshireletso
Department of Education	Lefapha la Thuto
Department of Environmental Affairs and Tourism	Lefapha la Merero ya Tikoloho le Bohahlaudi
Department of Finance	Lefapha la Ditjhelete
Department of Health	Lefapha la Bophelo bo Botle
Department of Home Affairs	Lefapha la Merero ya  Lehae
Department of Housing	Lefapha la Phumantsho ya Matlo
Department of Justice	Lefapha la Toka
Department of Justice and Constitutional Development	Lefapha la Toka le Ntshetsopele ya Molao wa Motheo
Department of Labour	Lefapha la tsa Mesebetsi
Department of Land Affairs	Lefapha la Merero ya Mobu
Department of National Education	Lefapha la Thuto ya Setjhaba
Department of Public Enterprises	Lefapha la Dikgwebo tsa Setjhaba
Department of Public Service and Administration	Lefapha la Ditshebeletso tsa Setjhaba le Tsamaiso
Department of Public Works	Lefapha la Mesebetsi ya Setjhaba
Department of Science and Technology	Lefapha la Saense le Theknoloji
Department of Social Development	Lefapha la Ntshetsopele ya Setjhaba
Department of Sport and Recreation	Lefapha la Dipapadi le Boikgathollo
Department of State	Lefapha la Mmuso
Department of Trade and Industry	Lefapha la Kgwebisano le Indasteri
Department of Transport	Lefapha la Dipalangwang
Department of Water Affairs	Lefapha la Ditaba tsa Metsi
Department of Water Affairs and Forestry	Lefapha la Merero ya Metsi le Meru
Deputy Speaker	Motlatsi wa Spikara
Deputy Speaker of Parliament	Motlatsi wa Spikara sa Palamente
Development Bank of Southern Africa	Banka ya Ntshetsopele ya Afrika e ka Borwa
Director of Public Prosecution	Molaodi wa Diqoso tsa Dinyewe tsa Setjhaba
Director of Public Prosecutions	Molaodi wa Diqoso  tsa Dinyewe
Dutch East India Company	Khamphani ya India ya Fora Botjhabela
Dutch Reformed Church	Kereke ya Ntjhafatso ya Fora
Eastern Cape	Kapa Botjhabela
Employment Equity Act	Molao wa Tekatekano Mesebetsing
Environmental Impact Assessment	Tekolo ya Sekgahla sa Tikoloho
European Union	Kopano ya Yuropa
Executive Council	Lekgotla la Phethahatso
