APRIL	MORANANG; 
AU	AU ; 
Africa	Aforika; 
Africa's	Aforika; 
African-American	Moamerika wa Aforika; 
Africans	Maaforika; 
Afrikaans	seaforikanse; 
America	Amerika; 
American	Moamerika; 
Apr	MORANANG; 
April	 Moranang; Aporele; 
Arab	Moarabea; 
Asian	Moasia; 
Auditor	Moruni; 
Auditor-General	Morunikakaretso; 
Beginner's	-simolodi; 
Boer	Leburu; 
Britain	Borithane; 
British	­maesimane;  ­borithane; 
CEOs	di-CEO; 
Caribbean	Kharibiene; 
Castle	Kasetele; 
Cedar	mopane; 
Chairman	Modulasetilo; 
Chinese	Motšhaena; 
Christian	 -sekeresete; modumedi;  mokeresete; 
Christianity	bokeresete; 
Christmas	keresemose; 
Clerks	Ditlelereke; 
Commissioner	Khomišenara; Moikanisi; 
Confederations	cikhonfedereišene;  ditlamagano; 
DECEMBER	SEDIMONTHOLE; 
Dec	SEDIMONTHOLE; 
December	Sedimonthole; 
Dominican	Modominikhene; 
Dutch	Holannere; 
England	Engelane; 
English	sejatlhapi; 
Europe	Yuropa; 
European	Yuropa; 
Excellency	Motlotlegi; 
FEBRUARY	TLHAKOLE; 
FRIDAY	LABOTLHANO; 
Feb	TLHAKOLE; 
February	Tlhakole; 
Federal	Federale; 
Filter	 felitara; tlhotlha;  motlhotlho; 
Fort	kago ya tlhabano;  kago ya phemelo; 
France	Fora; 
French	Mafora; 
Fridays	bo Labotlhano; 
Gazette	Kasete; 
German	Mojeremane; 
Germany	Jeremane; 
Glossary	lenanefoko; 
God	Modimo; 
Guardian	Motlhokomedi; 
HIV-positive	tshwaetsegile ka HIV; 
Handbook	Bukaithuto; 
Hawks	di-Hawks (police); 
Humphreys	ba ga Humphrey; 
India	Intia; 
Indian	Mointia; 
Infecting	tshwaetsang; 
Interjections	malatlhelwa; 
Islam	Iselamo; 
Islamic	­Iselamo; 
Italy	Itali; 
JANUARY	FIRIKGONG; 
JULY	PHUKWI; 
JUNE	SEETEBOSIGO; 
Jacob	Jakobo; 
Jan	FIRIKGONG; 
January	Ferikgong;  Janawari; 
Japan	Japane; 
Jewish	Juta; 
Joseph	Josefa; 
Jul	PHUKWI; 
Julius	Juliase; 
July	Phukwi;  Julae; 
Jun	SEETEBOSIGO; 
June	June;  Seetebosigo; 
Keyword	Lefoko la pulo; 
Kimberley	Teemaneng; 
London	Lontone; 
Lotteries	Dilothari; 
MONDAY	MOSUPOLOGO; 
MPs	di-MP; 
MR	RRE; 
Madam	Mma; 
Mandela's	­Mandela; 
Mayor	Meiyara; Ramotse; 
Meanwhile	kgabagare;  go sale jalo; 
Methodist	Wesele; 
Monday	Mosupologo; 
Moses	Moshe; 
Mourns	hutsafala; 
Mr	Rre; 
Mrs	Mme; 
NOVEMBER	NGWANAITSEELE; 
Natal	Natala; 
Nigerian	Moagi wa Nigeria; 
Nobel	Nobele; 
Nov	NGWANAITSEELE; 
November	Ngwanatsele;  Nofemere; 
OCTOBER	DIPHALANE; 
Oct	DIPHALANE; 
October	Diphalane;  Okotobore; 
Offender's	­motlolamolao; 
Olympic	Olimpiki; 
Olympics	Diolimpiki; 
PACs	di-PAC; 
Palestine	Palesetina; 
Parliament's	­Palamente; 
Peter	Pitori; 
Postpones	busetsa morago; 
Presidency	maemo a Moperesidente; 
President's	Mopresidente; 
Pretoria	Tshwane; 
Prince	Morwakgosi; 
Prof	Moporofesara; 
Protector	mosireletsi; 
Reginald	tsalwa sešwa; 
Registrar	Mokwadisi; 
Russian	Morašia; 
SALSA	motantsho wa SALSA; 
SEPTEMBER	LWETSE; 
Saturday	Lamatlhatso; 
Secretariat	­bokwaledi; 
Secretaries	Bakwaledi; 
Secretaries-General	Bakwaledi-Kakaretso; 
Self-Governance	itaolo; 
Senegal	Senekale; 
Sep	LWETSE; 
September	 Setemere; Lwetse; 
Shanghai	Shankai; 
Skip	tlola; 
Sunday	laTshipi; 
Surname	Sefane; 
Switchboard	boto ya kgolagano ya megala; 
TUESDAY	LABOBEDI; 
TV	thelebišene; 
Thursday	Labone; 
Tuesday	Labobedi; 
Unsubscribe	ikwalolola; 
WEDNESDAY	LABORARO; 
Wednesday	Laboraro; 
