Act of Parliament	Molao wa Palamente
Adult Basic Education and Training	Thuto ya Motheo le katiso ya batho ba bagolo.
Africa Institute of South Africa	Setheo sa Aforika sa Aforikaborwa
African American	Moamerika yo Montsho
African Christian Democratic Party	Lekoko la Temokerasi la Bakeresete la Aforika
African Cup of Nations	Sejana sa Dinaga tsa Aforika
African Development Bank	Banka ya Aforika ya Tlhabololo
African Diaspora	Phuduga ya Baaforika
African Economic Community	Mokgatlho wa Tlhabololo ya Ikonomi ya Aforika
African National Congress Youth League	Mokgatlho wa Baša wa African National Congress
African Union	Lekgotla la Aforika
African country	Naga ya Aforika
African language	Puo ya Aforika
African nationalist	Molwela-Kgololesego wa Moaforika
African people	Baaforika
African renaissance	Tlhabololo ya Aforika
African state	Puso ya Seaforika
African wild cat	phage
Agricultural Research Council	Khansele ya Ditlhotlhomiso tsa Temothuo
Ambassador of	Moemedi wa
Arts and Culture Trust	letlole la setso le botsweretshi
Bantu Authorities Act	molao wa puso ya bantsho
Basic Conditions of Employment Act	Molao wa Dintlhatheo tsa Thapo
Black Economic Empowerment	Molao wa Maatlafatso ya Batho ba Bantsho mo Ikonoming
Board of Directors	lekgotla la bakaedi
British High Commissioner	Mokhomišinaramogolo wa kwa Borithane 
Broad-based Black Economic Empowerment Act	Molao wa Maatlafatso ya Bontsi ba Bantsho mo Ikonoming
Bureau of Heraldry	Biro ya Heraldry
Call of South Africa	Boikuelo jwa Aforikaborwa
Central Energy Fund	Letlole la Bogareng la Motlakase
Chamber of Mines	Ditheo tse  di farologaneng tse di kopaneng tsa meepo
Chief Executive Officer	Motlhankedimogolokhuduthamaga 
Chief Justice	Moatlhodi-Mogolo
Christian Democratic Party	Lekoko la Temokerasi la Bakeresete
Civil Rights Movement	Mokgatlho wa Ditshwanelo tsa baagi
Coat of Arms	Letshwao la Setšhaba
Commission for Conciliation, Mediation and Arbitration	Khomišene ya Thuanyo, Tsereganyo le Katlholelo
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Khomišene ya Tsweletso le Tshireletso ya tsa Semorafe, Setso, Bodumedi le Dipuo
Commission on Restitution of Land Rights	Khomišene ka ga Pusetso ya Ditshwanelo tsa Mafatshe
Commonwealth of Independent States	Kgwereanoditšhaba ya Dipuso tse di Ikemetseng ka Nosi
Congress of Democrats	Konkerese ya Batemokeratiki
Constitution of the Republic of South Africa	Molaotheo wa Repaboliki ya Aforikaborwa
Constitutional Assembly	Kokoano ya Molaotheo
Constitutional Court	Kgotlatshekelo ya Molaotheo
Council for Scientific and Industrial Research	Khansele ya Ditlhotlhomiso tsa Saese le tsa Madirelo
Council of Ministers	Lekgotla la Mafapha a Puso
Council of Provinces	Lekgotla la Diporofense
Council of Traditional Leaders	Lekgotla la Baeteledipele ba Setso
Cradle of Humankind	Cradle of Humankind
Criminal Procedure Act	Molao wa ditlhotlhomiso tsa bosenyi
Customs and Excise	 Dithoto tse di amogelwang le tse di romelwang kwa ntle
Day of Goodwill	Letsatsi la go dira tse Dintle
Day of the Covenant	Letsatsi la Kgolagano
Democratic Alliance	Kgolagano ya Puso ya Temokerasi
Democratic Party	Lekoko la Puso ya Temokerasi
Department of Agriculture	Lefapha la Temothuo
Department of Arts and Culture	Lefapha la Botsweretshi le Setso
