ABET	Imfundvo yalabadzala; I-ABET; 
ACH	i-ACH; 
AG	I-AG; 
ANC	i-ANC; 
APRIL	Mabasa; 
AU	i-AU; 
Africa	i-Afrika; 
Africa's	i-Afrika; 
African	um-Afrika; 
African-American	Um-Afrika longumMelika; 
Africans	ema-Afrika; 
Alexandra	Alxandra; 
America	iMelika; 
American	umMelika; 
Angola	i-Angola; 
Apr	Mab; 
April	Mabasa; 
Arab	Um-Arabhu; 
Arcadia	 i-Arcadia; 
Asian	Umuntfu wase-Eshiya; 
Audios	 lokulalelwako; tilalelwa; 
Auditor	Umhlolimabhuku; 
Auditor-General	Umhlolimabhuku Jikelele; 
Austria	i-Austria; 
Ave	 umgwaco; indlela; 
BBC	i-BBC; 
BRICS	i-BRICS; 
Baba	babe; 
Bantu	Bantfu; 
Bay	Lugu; 
Beginner's	Labacalako; 
Berlin	i-Berlin; 
Blatter	kuhamba budlabha; kushaya uphindzelela futsi ngalokunemsindvo; 
Bloemfontein	Bloemfotein; 
Boer	Libhunu; 
Brazil	i-Brazil; 
Britain	i-Britain; 
British	kwaseBritain; waseBritain; 
Burundi	i-Burundi; 
CEOs	bo-CEO; Tisebenti Letinkhulu; 
CNS	i-CNS; 
COP	i-COP; 
CPA	i-CPA; 
CPC	i-CPC; 
CPT	i-CPT; 
Canada	iCanada; 
Cannes	iCannes; 
Caribbean	iCaribbean; 
Castle	Incaba; 
Cedar	i-Cedar; 
Chairman	Umgcinisihlalo; Sihlalo; 
Chinese	Lishayina; 
Christmas	Khisimusi; 
Clerks	bomabhalane; 
Commissioner	nkomishana; 
Confederations	Imihlangano lemikhulu; 
Congo	iCongo; 
Cuba	iCuba; 
DBE	i-DBE; 
DECEMBER	INGONGONI; 
DG	i-DG; 
DRC	i-DRC; 
DSO	i-DSO; 
Dec	Ingo; 
December	 Ingongoni; Disemba; 
Deregister	kucisha kubhalisa; 
Dome	idomu; 
Dominican	Umfundisi weMkatolika; 
Dr	Dkt; 
Drakensberg	Lukhahlamba; iDrankensberg; 
Dutch	UmDashi; 
EFF	i-EFF; 
Emmanuel	Inkhosinatsi; 
England	iNgilandi; 
English	Singisi; 
Ethiopia	iTopiya ; 
Europe	iYurophu; 
European	umuntfu waseYurophu; 
Excellency	umhlonishwa; 
FEBRUARY	BHIMBIDVWANE; 
FRIDAY	LESIHLANU; 
Feb	Bhimb; 
February	Indlovana;  iNdlovana; 
Federal	inhlangane yemave; 
Filter	Sefa; 
Fort	Incaba; 
