Act of Parliament	Umtsetfo wePhalamende
Africa Institute of South Africa	Sikhungo se-Afrika saseNingizimu Afrika
African American	Um-Afrika waseMelika
African Christian Democratic Party	Inhlangano Yetepolitiki i-African Democratic Party
African Development Bank	Libhange Lekutfutfukisa Lase-Afrika
African Diaspora	Bantfu Bekudzabuka e-Afrika labakulamanye emave labatibophelele ekutfutfukiseni i-Afrika
African Economic Community	Ummango Wetemnotfo wase-Afrika
African National Congress Youth League	Inhlangano Yelusha ye-African National Congress
African Union	Lubumbano Lwe-Afrika
African country	live lase-Afrika
African language	Lulwimi lwendzabuko
African nationalist	umuntfu lonebuve be-Afrika
African people	bantfu base-Afrika
African renaissance	Kwakhiwa kabusha kwe-Afrika
African state	sive sase-Afrika
African wild cat	ligoya
Agricultural Research Council	Umkhandlu Welucwaningo Kutekulima
Ambassador of	Lincusa lase-
Arts and Culture Trust	Sikhwama Setebuciko Nemasiko
Basic Conditions of Employment Act	Umtsetfo Wemibandzela  Yekucasha Lesisekelo
Black Economic Empowerment	kuhlomisa umnotfo walabamnyama
Board of Directors	Ibhodi Yebaphatsi
Broad-based Black Economic Empowerment Act	Umtsetfo Wekuhlomisa Umnotfo Walabamnyama Lobanti
Bureau of Heraldry	Silulu lapho kugcinwe khona timphawu letiligugu tesive
Call of South Africa	Lubito lweNingizimu Afrika
Central Energy Fund	Sikhwama Setemandla Lesinkhabeni
Chamber of Mines	Inhlangano Yetimayini
Chief Executive Officer	Umphatsi Lomkhulu
Chief Justice	Umphatsi Lomkhulu Wemajaji
Christian Democratic Party	i-Christian Democratic Party
Coat of Arms	 Siphandla Selive/Luphawu Lesive
Commission for Conciliation, Mediation and Arbitration	Ikhomishini Yekubuyisana, Kulamula Nekwehlulela
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Ikhomishana Yekugcugcutela Nekuvikela Emalungelo Etemasiko, Etenkolo
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Ikhomishini Yekutfutfukisa Nekuvikela Emalungelo Emimango Yetemasiko, Tenkholo Netilwimi
Commission on Restitution of Land Rights	Ikhomishini Ngekubuyiselwa Kwemalungelo Emhlaba
Commonwealth of Independent States	Inhlangano Yemave Yemave AseYurophu
Congress of Democrats	i-Congress of Democrats
Constitution of the Republic of South Africa	Umtsetfosisekelo WaseRiphablikhi YaseNingizimu Afrika
Constitutional Assembly	Sigungu Semtsetfosisekelo
Constitutional Court	Inkantolo Yemtsetfosisekelo
Council for Scientific and Industrial Research	Umkhandlu Weluchwaningo Kutesayensi Netimboni
Council of Ministers	Umkhandlu Wetindvuna
Council of Provinces	Umkhandlu Wetifundza
Council of Traditional Leaders	Umkhandlu Webaholi Bendzabuko
