APRIL	DZIVAMISOKO; 
Adam	Adamu; 
Africa's	xa Afrika; 
African-American	Muafrika-Muamerika; 
Africans	Muafrika; 
Afrikaans	Xibunu; 
America	Amerika; 
American	xa Amerika; Muamerika; 
Apr	DZIVAMISOKO; 
April	Dzivamisoko; 
Asian	swa Exjiya; 
Audios	Swo Twiwa; Mipfumawulo; 
Auditor	 Oditara; Mukambatinkota; 
Auditor-General	Muhlahluvi-nkulu; 
Ave	Xitarata; 
Baba	Tatana; 
Bantu	Bantu ; 
Bay	Nsonga; 
Beginner's	Xa Musunguri; 
Boer	Bunu; 
Botswana	Botswana;  Vutswana; 
British	swa Britain; 
CEOs	tiCEO; 
Caribbean	xa Kharibiya; 
Castle	Khokholo; 
Chairman	Mutshamaxitulu; 
Chinese	Muchayina; 
Christian	Mukriste;  -Mukreste; 
Christianity	vukreste;  Vukreste; 
Christmas	Khisimusi; 
Clerks	Vamatsalani; 
Commissioner	Khomixinara; 
Confederations	mihlangano leyi nga na marhavi; Tikhonfederexeni; 
Congo	Congo;  Khongo ; 
Cuba	 Khuyuba; Cuba; 
DECEMBER	N'WENDZAMHALA; 
David	Davhida; 
Dec	N'wendzamhala; 
December	N'wendzamhala; 
Deregister	Ku herisa ntsariso; 
Dome	Xitambha; 
Dominican	Mudominikhene; 
Dr	Dok; 
Drakensberg	tintshava ta Kwatlamba; 
Dutch	Xidachi; 
England	Nghilandhi; 
English	Xinghezi; 
Ethiopia	Etiyopiya; 
Europe	Yuropo; 
European	mulungu;  -Yuropo;  Mulungu; 
Excellency	Vachaviseki; 
FEBRUARY	NYENYANYANA; 
FRIDAY	RAVUNTLHANU; 
Feb	Nyenyanyana; 
February	Nyenyenyani; 
Federal	Federali; 
Filter	Sefo; 
Fort	Rirhangu;  Khokholo; 
France	Fura; 
French	 Mufurwa; Xifurwa; 
Friday	Ravuntlhanu; 
Fridays	masiku ya Ravuntlhanu; 
Gazette	Gazete; 
German	Xijarimani; Mujarimani; 
Germany	Jarimani; 
Glossary	Dlilosari; 
God	Xikwembu; 
Guardian	Muhlayisi; 
HIV-positive	ku va na xitsongwatsongwana xa HIV; 
Handbook	Buku ya swileriso; Bukumpfuno; 
Hon	Muchaviseki; Muhlonipheki; 
I'm	Ndza; 
India	India;  Indiya; Indiya; 
Indian	Muindiya; 
Infecting	tluleta vuvabyi; 
Interjections	mikavanyeto; 
Islamic	Xiizilamu; 
JANUARY	SUNGUTI; 
JULY	MAWUWANI; 
JUNE	KHOTAVUXIKA; 
Jacob	Yakobo;  Yakobo; Jacob; 
Jan	Sunguti; 
January	Sunguti; 
Japan	Japani; 
Jewish	Xiyuda; 
Johannesburg	Joni; 
Jonathan	 Yonatani; Yonatani; Jonathan; 
Jordan	Jordan;  Jordani; Yordani; 
Joseph	Yosefa;  Yosefa; Joseph; 
Jul	Mawuwani; 
July	Mawuwani; 
Jun	Khotavuxika; 
June	Khotavuxika; 
Keyword	rito ra nkoka lowukulu; 
Kimberley	 Khimbini; Kimberley; 
Korea	Korea;  Koriya; 
Lesotho	Lesotho;  Lisuthu; 
Lotteries	Mibejo; 
MONDAY	MUSUMBUNUKU; 
MPs	tiMP; 
MR	TAT; 
Madam	Manana; 
Mama	Mhani; 
Mandela's	xa Mandela; 
Mar	Nyenyankulu; 
Max	Mpimo wa le henhla; 
Maya	Matimba ya va le hansi; 
Mayor	Meyara; 
Meanwhile	hi le tlhelo;  ku ve; 
Methodist	Mumethodisi; 
Monday	Musumbhunuku; 
Moses	Muxe; 
Mourns	Rila nkosi; 
Mozambique	Mozambiki; 
Mr	Tat; 
Mrs	Man; 
NOVEMBER	HUKURI; 
Namibia	 Namibiya; Namibia; 
Natal	 Natali; Natal; 
Ndebele	Ndhevele; 
Nelspruit	Nelspruit;  Nasipoti; 
Newtown	Newton; 
Nigeria	 Nayijeriya; Nigeria; 
Nigerian	Munayijeriya; 
Nov	Hukuri; 
November	Hukuri; 
OCTOBER	NHLANGULA; 
Oct	Nhlangula; 
October	Nhlangula; 
Offender's	xa Muonhi; 
Olympic	Olimpiki; 
Olympics	Mitlangu ya Tiolimpiki; Tiolimpiki; 
PACs	tiPAC; 
Palestine	Palesitina; 
Pan	Angarhela; 
Parliament's	xa Palamende; 
Paul	Paul;  Pawulo; 
Peter	Peter;  Petro; 
Postpones	ku tlherisela endzhaku; 
Presidency	Hofisi ya Phuresidente; 
President's	xa Phuresidente; 
Pretoria	Pitori; 
Prince	Hosana; 
Pringle	Pringle ; 
Prof	Phurofesa; 
Protector	Musirheleri; 
Registrar	Mutsarisi; Murhijisitirara;  Mutsarisi; 
Rejoice	Dzunisa; 
Russia	Russia;  Rhaxiya; 
Russian	 xa Rhaxiya; Murhaxiya; 
Ruth	Rhuti; 
SA	Afrika-Dzonga; 
SEPTEMBER	NDZATI; 
Sarah	 Sara; Sarah; 
Saturday	Mugqivela; 
Secretariat	vatirhi va le tihofisini ta ndzawulo; 
Secretaries	Vamatsalani; 
Secretaries-General	Vamatsalani-Jenerali; 
Self-Governance	Vutifumi; 
Senegal	 Senegali; Senegal; 
Sep	rhumeriwile; 
September	Ndzhati; 
Shanghai	 Xanghayi; Shanghai; 
Skip	Tlula; Khontheyini; 
Sudan	Sudani; 
Sunday	Sonto; 
Surname	Xivongo; 
Swaziland	Swazini; 
Switchboard	Vulawuri bya tiqingho; 
TUESDAY	RAVUMBIRHI; 
Tata	Tatana; 
Temba	Themba; 
Thomas	Thomas;  Tomasi; 
Thursday	Ravumune; 
Tuesday	Ravumbirhi; 
Unsubscribe	ku tihumesa eka vuseketeri; 
Venda	Vhenda; 
WEDNESDAY	RAVUNHARHU; 
Wednesday	Ravunharhu; 
Xhosa	 Muqhoza ; Xiqhoza; 
Zambia	 Zambiya; Zambia; 
Zimbabwean	Muzimbabwe; 
Zulu	Muzulu; 
ability	vuswikoti;  vutlhari; 
able	kota; 
about	mayelana na; 
above	henhla ka; 
above-mentioned	leswi vuriweke laha henhla; 
abroad	ntsungeni wa malwandle; 
absence	mpfumaleko;  ku xwa; 
absent	xwa;  -xwa; 
absolute	-xiheri; 
abuse	xanisa;  nxaniso;  ku tirhisa hi ndlela yo hoxeka; 
abused	xanisiweke;  xanisiwile; 
academia	xivandla xa swidyondzeki na valavisisi; akademiya; 
academic	-akademiki; 
academics	valeteri;  swidyondzeki; tiakademiki; 
academies	tiakademi; 
academy	akademi; 
accelerate	hatlisa; 
accelerated	hatlisile; 
accelerating	hatlisa; 
acceleration	ngetelo wa rivilo; 
accept	amukela; 
acceptable	amukeleka; 
acceptance	ku amukela;  ku amukeriwa; 
accepted	amukerile; 
accepting	amukela; 
access	mpfumelelo;  pfumelela; 
accessed	fikeleriweke; fikelerile; 
accessibility	mfikelelo; 
accessible	fikelelekaka; 
accession	ntlakuso; 
accident	nghozi;  mhangu; 
accidents	tinghozi;  timhangu; 
acclaim	ndhundhuzela; 
acclaimed	ndhundhuzeriwaka hi mani na mani; 
accommodate	rhurhela; 
accommodated	rhurheriweke; 
accommodation	vutshamo;  ku vona; 
accompanied	fambisana;  heleketile; hlavelerile; 
accompany	heleketa;  Ku famba swin'we;  -hlavelela; 
accomplish	humelela; 
accomplished	fikelela; 
accord	nyika;  pfumelela; 
accordance	hi ku ya hi; 
accorded	pfumeleriwile, nyikiwile; 
according	hi ku ya hi; 
accordingly	hindlela leyi faneleke; 
account	akhawunti;  xikweleti;  xitiviso xa xikweleti; 
accountability	vutihlamuleri; 
accountable	-tihlamulela; 
accountants	van'watinkota; 
accounted	hlamuseriweke;  hlamuserile;  nyikile vutihlamuleri; 
accounting	vunkonta; 
accounts	tinhlamuselo;  swikweleti;  tiakhawunti; 
accreditation	ku nyika mpfumelelo wo tirha; vululameri; 
accredited	nyikiwile vululameri;  nyikiwile vululameri; nyikiwile mpfumelelo wo tirha; 
accruals	timali leti kumekeke kambe ti nga si rhekodiwaka; 
accrue	sindzisa; 
accrued	hlengeletile; 
accumulate	hlengeleta; 
accumulated	hlengeletile; 
accuracy	akhuresi; 
accurate	-nkhaqato;  khaqa!; 
accused	muhehliwa; 
achieve	humelela; 
achieved	fikelerile; 
achievement	humelelo; 
achievements	mifikelelo; 
achieving	fikelela; 
acknowledge	nkhensa; 
acknowledged	khensile; 
acknowledges	amukela; 
acquire	kuma; 
acquired	kumile; 
acquisition	ku kuma; 
across	hingakanya; 
act	nawu;  xiyenge;  endla ntlangu;  tlanga;  xiendlo; 
acted	endlile;  tikhomile;  tlangile; 
acting	ku tlanga; 
action	xiendlo; 
actions	swiendlo; 
active	mafulufulu; 
actively	hi ku gingirika;  hi ku gingiriteka; 
activism	vugingiriki; vugingiriteki; 
activist	mugingiriki; 
activists	vagingiriki; 
activities	migingiriko; 
activity	nghingiriko;  gingiriko; 
actor	mutlangi; 
actors	vatlangi; 
acts	endla;  swiyenge;  milawu;  mitirho;  swiendlo; 
actual	-xiviri; 
actually	hakunene;  hi ntiyiso; 
ad	xinavetiso; 
ad-hoc	swa nkarhinyana; 
add	engetela;  nyika nhlamulo-hlanganiso ya; 
added	engeterile;  hlanganisile; 
adding	engetela; tlhandlekerile; 
addition	ku hlanganisa; 
additional	xengetelwa; 
address	kherefu; 
addressed	tirhanile; 
addresses	ololoxile;  tiadirese; 
addressing	vulavurisana; 
adds	engetela;  hlanganisa; 
adequate	-ringana; 
adequately	hi ku ringanela;  hi ku enela; 
adhere	landzelela; 
adherence	nandzelelo; 
adjourned	khumukile; 
adjudication	vuahluri; 
adjust	cinca; 
adjusted	cinca; 
adjustment	hundzuluxo;  ku tolovela; 
adjustments	hundzuluxo;  ku tolovela; 
administer	lawula; 
administered	tirhisile; 
administering	fambisa; 
administration	vulawuri; 
administrations	mafambiselo; 
administrative	mafambiselo; 
administrator	mulawuri; 
administrators	vafambisi; 
admissible	amukeleka; 
admission	amukela;  ku nkhensa nandzu;  amukelo; 
admit	amukela; 
admitted	amukeriwile; 
adopt	wundla;  -amukela; 
adopted	amukerile;  wundlile; 
adopting	amukela;  wundla; 
adoptive	wo wundla; 
adopts	amukela;  wundla; 
adult	nkulukumba;  lonkulu; 
adults	lavakulu;  vakulukumba; 
advance	antswisa;  antswiso; 
advanced	-tlakuka; 
advancement	ku ya emahlweni; 
advances	nhluvuko;  tihakelo nkarhi wu nga si fika; 
advancing	antswisa; 
advantage	nkateko;  xipfuni; 
advantages	swipfuno; swiyimonene; 
advent	ku fika; 
adverse	xo onha; 
adversely	hindlela yo onha; 
adversity	ku onha; 
advertise	navetisa; 
advertised	navetisile; 
advertisement	xinavetiso; 
advertising	ku navetisa; 
advice	xitsundzuxo; 
advise	tsundzuxa; 
advised	tsundzuxile; 
adviser	mutsundzuxi; 
advisers	vatsundzuxi; 
advisor	mutsundzuxi; 
advisories	switsundzuxo swa ximfumo; 
advisors	vatsundzuxi; 
advisory	xitsundzuxo xa ximfumo; 
advocacy	nseketelo; 
advocate	seketela;  gqwetela;  gqwetankulu; 
advocates	seketela; magqwethankulu; 
affairs	timhaka; 
affect	kucetela;  -khumba; 
affected	khumbeka; 
affecting	khumba;  kucetela; 
affects	khumba;  kucetela; 
affidavit	xihlambanyo xa vumbhoni; 
affirm	tiyisa;  tiyisisa; 
affirmation	ntiyisiso; 
affirming	seketela;  tiyisisa; 
afford	fikelela; 
affordable	-fikeleleka; 
afforded	fikelerile; 
aforementioned	leswi vuriweke nkarhi lowu nga hundza; 
aforesaid	leswi vuriweke nkarhi lowu nga hundza; 
after	ndzhaku ka; 
afternoon	ndzhenga;  nhlekanhi; 
again	nakambe; 
against	 ku hambana na; ehenhla ka; 
age	vukhale;  nguva;  ku kula; 
aged	kurile; 
agencies	vuyimeri;  tiejensi; 
agency	vuyimeri;  ejensi; 
agenda	ajenda; 
agent	muyimeri;  xivangi;  xotirhisa;  xiendlisi; 
agents	vayimeri;  tinhlori; swiendli;  vayimeri;  swivangi; 
ages	kula;  tinguva;  vukhale; 
aggrieved	-vilela; 
ago	nkarhi lowu nga hundza; 
agree	pfumela;  twanana; 
agreed	twananile; 
agreement	ntwanano; 
agreements	mitwanano; 
agrees	pfumela;  twanana; 
agricultural	swa vurimi; 
agriculture	vurimi; 
ahead	emahlweni;  ku nga si; 
aid	pfuna;  mpfuno; 
aids	pfuna;  swipfuno; 
aim	xikongomelo; 
aimed	kongomisile; 
aims	kongomisa; 
air	moya;  aneka;  tilo; 
aircraft	xihahampfhuka;  xihaha-mpfhuka; 
airport	xitichi xa swihaha-mpfhuka; 
airports	rivala ra vuhahiselo; rivala ra swihahampfhuka; 
albeit	ku karhi ku nga kanetaniwi na; 
alcohol	xihoko; 
alert	lemuka;  muhiteki; 
alia	swo fambelana na; 
align	xaxameta; 
aligned	xaxametile; 
alignment	nxaxameto; 
alike	fana; 
alive	hanya; 
all	hinkwaswo;  hinkwavo; 
allegation	ku ehleketelela; 
allegations	ku ehleketelela; 
alleged	ku ehleketeleriwile; 
allegedly	hi ku ehleketelela; 
alleviate	hunguta; 
alleviation	ku hunguta; 
alliance	ntwanano; 
allocate	avela; 
allocated	averile; 
allocation	riavelo; 
allocations	miavelo; 
allow	pfumelela; 
allowance	xengetelo; 
allowances	swengetelo; 
allowed	pfumelerile; 
allowing	pfumelela; 
allows	pfumelela; 
almost	kwalomu ka; 
alone	yexe; 
along	swin'we; 
alongside	etlhelo ka; 
already	se; 
also	na tona;  nakambe, na yona; 
alter	cinca;  hundzuluxa; 
alternate	ncinca-ncicana;  -cincacinca; 
alternative	-ndlela yin'wana; 
although	hambileswi; 
always	mikarhi hinkwayo; 
am	nimixo;  nimixo; am; 
ambassador	muyimeri;  ntsumi; 
ambassadors	vayimeri; tiambasadara;  vayimeri; 
ambient	 swa kwala ndhawini; swa kwala kusuhi; 
ambit	vuanami; 
amend	antswisa;  hundzuluxa; 
amended	antswisile;  hundzuluxile; 
amending	antswisa;  hundzuluxa; 
amendment	ncinco;  hundzulo; 
amendments	swihundzulo; 
amends	antswisa;  hundzuluxa; 
ammunition	maqulu;  miehleketo yo vupfa;  vuxokoxoko bya nseketelo; 
amnesty	ndzivalelo; 
among	exikarhi ka; 
amongst	exikarhi ka; 
amount	endla;  ntsengo; 
amounted	fikelerile eka;  vile na ntsengo wa; 
amounting	fikelela eka;  va na ntsengo wa; 
amounts	mitsengo;  fika eka; 
analogue	analogo; 
analyse	ntlhantlha; 
analysed	 xopaxopile; xoperile; 
analyses	xopela; 
analysing	xopela; 
analysis	ntlhantlho; 
ancestor	 kokwa wa kokwana; kokwa-wa-kokwana; 
ancestors	swikwembu;  kokwa wa kokwana;  vakokwa wa vakokwana; valehansi; 
ancient	khaleni;  -khale;  khale ka khaleni; 
and	na;  ni; 
animal	xiharhi;  xihari;  xivandza; 
animals	swiharhi;  swivandzana; 
animation	ku va na nkhinkhi;  ku va na matimba;  ku va na mafulufulu; 
annex	teka tiko; 
annexure	xiengetelwa;  xiengeteriwa; 
anniversary	anivhesari; siku ro kotlanisa; 
announce	tivisa; 
announced	tivisile; 
announcement	xitiviso; 
announcements	switiviso; 
announces	tivisa; 
annual	 -nguva yin'we; -lembe na lembe;  -xa nguva yin'we; 
annually	lembe na lembe; 
annum	lembe na lembe; 
another	-n'wana; 
answer	ansara; 
answers	tinhlamulo; 
antenatal	vuyimani;  xirhangela-mbeleko; 
anthem	risimu; 
anti-corruption	ku lwisana na vukungundzwana; 
anti-pass	ku lwisana na milawu ya mapasi; 
anticipated	languteriwile; 
any	wihi kumbe wihi;  xihi kumbe xihi; 
anyone	munhu wihi kumbe wihi; 
anything	xilo xihi kumbe xihi; 
apart	-hambaneke; 
apartheid	xihlawuhlawu; 
apparent	swo ngi; 
appeal	xirilo;  hundzela emahlweni;  hundzela mahlweni; 
appealed	komberile; aphirile; 
appeals	kombela; aphila;  tiaphili; 
appear	vonakala; 
appearance	xivumbeko;  vukona; 
appeared	vonakarile; 
appearing	vonakalaka; 
appears	vonakala; 
appellant	murili; 
appendix	xita-ndzhaku;  xirhumbyana; 
applaud	phokotela;  ndhundhuzela; 
applause	ku phokotela mavoko; 
applicable	tirhiseka; 
applicant	muendli wa xikombelo; 
applicants	vaendli va swikombelo; 
application	xikombelo;  matirhiselo;  nongonoko-nkongoma; 
applications	matirhiselo;  swikombelo;  ku tirhisa;  maendlelo; 
applied	xikongomelo; 
applies	endla xikombelo; 
apply	kombela ntirho; 
applying	endla xikombelo; 
appoint	hlawula; 
appointed	thorile; 
appointing	thola; 
appointment	ntholo;  xitshembisano; 
appointments	ku thoriwa;  ku thoriwa; mikarhi ya vutihlanganisi; 
appoints	thola; 
appreciate	khensa;  nkhensa; 
appreciated	amukerile;  khensile; 
appreciates	khensa;  tlakuka; 
appreciation	mukhenso; 
approach	endlelo;  vonele;  tshinela; 
approached	tirhana;  fikile;  tshinerile; 
approaches	fika;  maendlelo; 
appropriate	 fanela; -fanela; 
appropriated	averile; 
appropriately	hindlela leyi faneleke; 
appropriation	nkavelo;  maavele; 
appropriations	maavelo;  mikavelo; 
approval	mpfumelelo; 
approve	pfumelela; 
approved	pfumelerile; 
approximately	kwalomuya;  hi ku pimanisa; 
arbitration	vulamuri; 
arbitrator	mulamuri; 
architects	vapulanamiako; 
architectural	swa vumaki bya tipulani; 
architecture	ntivo-vuaki; 
archival	swa tiakhayivhi; 
archive	akhayivhi; 
archives	tiakhayivhi; 
area	ndhawu;  vuandlalo;  xivandla;  xifundza; 
areas	tindhawu;  vuandlalo;  swivandla;  vundhawu; 
argue	kaneta; 
argued	vurile; 
argument	mbholovo; 
arguments	timhaka;  timholovo; 
arise	humelela;  tumbuluka;  pfa; 
arises	humelela;  tumbuluka;  pfa; 
arising	humelelaka;  pfaka;  tumbulukaka; 
arm	voko; 
armed	hlomile; 
arms	matlhari; 
arose	humeleleke; Pfeke;  tumbulukeke; 
around	rhendzeleka; 
arrange	lulamisa;  xaxameta; 
arranged	lulamisile; xaxametile; 
arrangement	ku lunghisa; 
arrangements	malulamiselo; 
array	nxaxamelo; 
arrest	khoma; 
arrested	khomile; 
arrival	ku fika; 
arrive	fika; 
arrived	fikile; 
art	vutshila;  ntivo-vuxongi; 
artefacts	leswi endliweke hi vanhu swa mfuwo kumbe matimu; 
article	nchumu;  xitsariwa; 
articles	tiatikili;  michumu; 
articulate	hlamusela; 
articulated	hlamuserile; 
artist	mutshila; 
artistic	-vutshila;  -vusini; 
artists	vatshila; 
arts	swa vutshila; 
artwork	ntirho wa vutshila; 
artworks	mitirho ya vutshila; 
as	tanihi; 
ascertain	tiyisisa; 
aside	etlhelo; 
ask	vutisa; 
asked	vutisile; 
asking	vutisa; 
asks	kombela; 
aspect	tlhelo; 
aspects	swiphemu; 
aspiration	ku humesa moya;  ku navela ku fikelela; 
aspirations	ku navela; minavelo; 
assembly	huvo;  nhlengeletano; 
assented	amukerile;  pasisile;  pfumelerile; 
assert	vula;  tshikelela; 
assess	hlela;  pimanyisa nxavo; 
assessed	hlela;  kamberile; 
assesses	hlela;  hlahluva; 
assessing	kambela;  hlela; 
assessments	mahlelelo; 
assessor	mupfuna-mavanyisi; 
assessors	vakamberi; 
assets	rifuwo; 
assign	nyika;  avela; 
assigned	nyikile;  averile; 
assignment	ntirho; 
assist	-pfuna; 
assistance	mpfuno; 
assistant	mupfuni; 
assisted	pfunile; 
assisting	pfuna; 
assists	pfuna; 
associate	toloveta; 
associated	tikatsile;  fambelanisiwa; 
association	nhlangano; 
associations	mihlangano; 
assume	sungula;  sungula; vhumbela;  kumbetela; 
assumed	sungurile; vhumberile;  kumbeterile; 
assumptions	swo vhumberiwa;  mikumbetelo; 
assurance	 ntiyisiso; ndzindzakhombo; 
assure	tiyisisa; 
assured	tiyisisile; 
astronomy	ntivo-tinyeleti; 
at	eka; 
athletics	mintlangu;  swipotso; 
atmosphere	atimosifiya;  moya-khubu; 
atmospheric	swa le mpfhukeni;  swa le moyeni; 
attach	bohelela; 
attached	khomanisile; 
attachment	xikhomanisiwa; 
attack	hlasela;  nhlaselo;  ndhumelo; 
attacks	hlasela;  mihlaselo;  midumelo; dumela;  hlasela; 
attain	kuma; 
attained	-kumile; 
attainment	vuxaka; 
attempt	ringeta;  ndzingeto; 
attempted	ringetile; 
attempts	ringeta; miringeto; 
attend	nghena; 
attendance	nghenelo; 
attended	nghenile; 
attending	nghena; 
attention	nyingiso; 
attitude	matikhomelo;  vonele; 
attitudes	mavonelo; 
attorney	gqweta; 
attorney-general	gqweta-jenerala; 
attorneys	 vayimeri va swa nawu; magqwethankulu; 
attract	koka; 
attracted	kokile; 
attribute	vubuma-bumelo;  vubumabumelo; 
attributed	fambelanisiwa; 
auction	fandisi; 
audience	vayingiseri;  vayingisi; 
audiences	vayingiseri;  vayingisi; 
audio	swo twiwa; 
audio-visual	xo twiwa no voniwa;  xivonwa-twiwa; 
audiovisual	swo twiwa no voniwa; 
audit	hlahluva;  nhlahluvo;  hlela tinkota; 
audited	kambisisile;  kambisisile ; oditile;  oditiwile; 
auditing	kambisisa;  odita; 
auditor	mukamba-tinkota; 
auditor-general	mukambatinkotankulu;  oditara-jenerali; 
auditors	vakambatinkota; vakambisisi; 
audits	kambisisa;  vukambisisi; 
august	xiximeka; 
auspices	hi ku pfuniwa hi ;  nsirhelelo wa; 
authentic	xa xiviri;  xa ntiyiso; 
author	mutsari; 
