Act of Parliament	Nawu wa Palamende
Adult Basic Education and Training	Dyondzo ya Masungulo na Ndzetelo wa Lavakulu
Africa Institute of South Africa	Vandla ra Afrika ra Afrika-Dzonga
African American	Muafrika-Muamerika
African Christian Democratic Party	African Christian Democratic Party
African Development Bank	Bangi ya Nhluvukiso ya Afrika
African Diaspora	Miganga ya Maafrika Emisaveni Hinkwayo
African Economic Community	Muganga wa Ikhonomi wa Afrika
African National Congress Youth League	Vandla ra Vantshwa ra Africana National Congress
African Union	Vun'we bya Afrika
African country	tiko ra Xiafrika; tiko ra Xintima
African language	ririmi ra Xintima
African nationalist	museketeri wa vutifumi bya Maafrika
African people	Vantima
African renaissance	ku pfuxiwa hi vuntshwa ka Afrika
African state	tiko ra Afrika
African wild cat	goya
Agricultural Research Council	Huvo ya Ndzavisiso ya Vurimi
Ambassador of	Ambasadara wa; Muyimeri wa
Ambassador of	Muyimeri wa
Arts and Culture Trust	Thirasiti ya Vutshila na Mfuwo
Bantu Authorities Act	Nawu wa Mfumo wa Vantima
Basic Conditions of Employment Act	tsalwa ra pholisi ra masungulo
Black Economic Empowerment	Havexeriso wa Ikhonomi wa Vantima
Board of Directors	Huvo ya Valawuri
British High Commissioner	Khomixinarankulu wa Britain
Broad-based Black Economic Empowerment Act	Nawu wa Havexeriso wa Ikhonomi wa Vantima wo Angarhela
Bureau of Heraldry	Byuro ya Mifungho
Call of South Africa	Xirhambo xa Afrika-Dzonga
Central Energy Fund	Nkwama wa le Xikarhi wa Eneji
Chamber of Mines	Huvo ya Migodi
Chief Executive Officer	Muofisirinkulu wa Vufambisinkulu
Chief Justice	Muavanyisinkulu
Christian Democratic Party	Vandla ra Xidemokirasi ra Xikriste
Civil Rights Movement	Nhlangano wa Timfanelo ta Vaaki
Coat of Arms	Mfungho wa Tiko
Commission for Conciliation, Mediation and Arbitration	Khomixini ya vulamuri
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Khomixini ya Nkondletelo na Nsirhelelo wa Timfanelo ta Mfuwo, Vukhongeri
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Khomixini ya Nhluvukiso na Nsirhelelo wa Timfanelo ta Mfuwo, Vukhongeri na Tindzimi
Commission on Gender Equality	Khomixini ya Ndzingano wa Rimbewu
Commission on Restitution of Land Rights	Khomixini yo Tlherisela Vun'wini bya Misava
Commonwealth of Independent States	Matiko lama Tiyimelaka ya Commonwealth
Congress of Democrats	Ntsombano wa Vaseketeri va Xidemokirasi
Constitution of the Republic of South Africa	Vumbiwa bya Rhiphabuliki ya Afrika-Dzonga
Constitutional Assembly	Huvo ya Vumbiwa
Constitutional Court	Khoto ya Vumbiwa
Council for Scientific and Industrial Research	Huvo ya Ndzavisiso wa swa Sayense na Vumaki
Council of Ministers	Huvo ya Vaholobye
Council of Provinces	Huvo ya Swifundzankulu
Council of Traditional Leaders	Huvo ya Varhangeri va Ndhavuko
Cradle of Humankind	Cradle of Humankind
Cradle of Humankind	Marhumbi ya Vakokwa wa Vakokwana
Criminal Procedure Act	Nawu wa Mafambiselo ya Vugevenga
Customs and Excise	Xibalo xa Tinhundzu to Huma Ematikweni Mambe na leti Endliweke laha Tikweni
Day of Goodwill	Siku ra Xinakulobye
Day of Reconciliation	Siku ra Ndzivalelano
Day of the Covenant	Siku ra Xinakulobye
Democratic Alliance	Democratic Alliance
Democratic Party	Democratic Party
Department of Agriculture	Ndzawulo ya Vurimi
