APRIL	Lambamai; 
Africa's	Afrika; 
African	Muafrika; 
Africans	Muafrika; 
Apr	Lambamai; 
April	Lambamai; 
Auditor	Oditha; 
Bantu	Murema; 
Beginner's	muthomi; 
Boer	muvhuru; mufurukaṋere; 
Brazil	Brazili; 
CEOs	 Vhaofisiri Mutshimbidzi; 
Canada	Khanada; 
Chairman	 mudzulatshidzulo; mudzulaphanḓa; 
Chinese	Mutshaina; 
Christianity	Vhutendi; 
Clerks	 Muṅwali wa ofisini; Vhomabalane; 
Commissioner	Mukhomishinari; 
DECEMBER	NYENDAVHUSIKU; 
Dec	NYENDAVHUSIKU; 
December	Nyendavhusiku; 
Deregister	bvisa kha ridzhisiṱara; 
Drakensberg	Ḽiulu; 
English	Tshiisimane; 
Ethiopia	Ethopia; 
Europe	Yuropa; 
European	Mutshena; 
Excellency	Vhaṱhonifhei; Vhaṱhomphei; Vhahulisei; Vhatatisei; 
FEBRUARY	LUHUHI; 
FRIDAY	ḼAVHUṰANU; 
Feb	LUHUHI; 
February	Luhuhi; 
Federal	 Lushaka;  Tshitshavha; Muvhuso; 
Filter	sefo;  miṋa; suḓa;  muṱuḓo;  kunakisa;  ṱuḓa;  sefa; 
Fort	tshihoḓo; thondo; 
Friday	Ḽavhuṱanu; 
Fridays	Ḽavhuṱanu; 
Gazette	Gazete; 
Germany	Dzheremane; 
Glossary	Guḽosari; Teo; 
God	 Mudzimu; mudzimu; 
Guardian	muunḓi; 
HIV-positive	 vha na HIV; 
Handbook	bugupfarwa; 
Hawks	vhurwanzhivha;  vhavhambadzi; rengisa; 
I'm	 tho;  nda; ndo; ndi;  thi;  nṋe; 
Infecting	fhirisela;  pfukisela;  longa zwi vhulayaho;  kavha; 
Interjections	maaravhi; 
JANUARY	PHANDO; 
JULY	FULWANA; 
JUNE	FULWI; 
Jan	PHANDO; 
January	Phando; 
Japan	Dzhapani; 
Jul	FULWANA; 
Julius	Lulius; 
July	Fulwana; 
Jun	FULWI; 
June	Fulwi; 
Keyword	 ipfi ḽa ndeme; ipfi ḽi shumaho sa khii;  ipfi ḽa khoṋo; 
KwaZulu-Natal	Kwazulu-Natal; 
LinkedIn	Linkedin; 
Luthuli	Luthhuli; 
MONDAY	MUSUMBULUWO; 
MPs	MP; 
MR	VHO; 
Madam	Mufumakadzi; 
Mandela's	Mandela; 
Mar	Ṱhafamuhwe; 
Mayor	 Ṋeḓorobo; Meyara; 
Meanwhile	zwi tshe zwo ralo;  zwi tshi kha ḓivha zwo ralo; 
Monday	Musumbuluwo; 
Mourns	 ṱungufhala; lila; 
