Act of Parliament	Mulayo wa Phalamennde
Africa Institute of South Africa	Africa Institute of South Africa
African American	African American
African Christian Democratic Party	Ḽihoro ḽa  African Christian Democratic
African Cup of Nations	Tshiphuga tsha Mashango a Afrika
African Development Bank	Bannga Ya Mveledziso ya Afrika Tshipembe
African Diaspora	Khasekano ya Afurika
African Economic Community	Tshitshavha tsha Ikonomi ya Afrika
African National Congress Youth League	Ḽigi ya Vhaswa ya African National Congress
African Union	African Union
African country	Shango ḽa Afrika
African language	Luambo lwa Afurika
African nationalist	Muafurika
African people	Vhaafurika
African renaissance	Mvusuludzo ya Afrika
African state	Shango ḽa Afrika
African wild cat	Tshimange tsha ḓaka; goya
Agricultural Research Council	Khoroṱhoḓisisi ya zwa Vhulimivhufuwi
Ambassador of	Muambasada wa
Arts and Culture Trust	Thirasiti ya Vhutsila na Mvelele
Bantu Authorities Act	Mulayo wa Muvhuso wa Vharema
Basic Conditions of Employment Act	Mikano ya Mutheo wa Milayo wa Vhashumi
Black Economic Empowerment	Maanḓafhadza Ekonomi ya Vharema 
Board of Directors	Bodo ya Vhalangi
Broad-based Black Economic Empowerment Act	Broad-based Black Economic Empowerment Act
Bureau of Heraldry	Bureau of Heraldry
Call of South Africa	Khuwelelo ya Afurika
Central Energy Fund	Tshikwama tsha Fulufulu tsha Vhukati
Chamber of Mines	Dzangano ḽa Vhatholi kha zwa Migodi; Dzangano ḽa Vhatholi kha nḓowetshumo ya zwa Migodi
Chief Executive Officer	Muofisiri Mulangi Muhulwane
Chief Justice	Muhaṱuli muhulwane
Christian Democratic Party	Christian Democratic Party
Civil Rights Movement	Dzangano ḽa Pfanelo dza Vhadzuli
Coat of Arms	Tshiphugaṱhalu
Commission for Conciliation, Mediation and Arbitration	Khomishini ya Vhupfumedzani, Vhukonanyi, na Vhulamukanyi
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Khomishini ya Ṱhuṱhuwedzo na Tsireledzo ya Pfanelo dza Mvelele na Vhurereli
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	Khomishini ya Ṱhuṱhuwedzo, Tsireledzo, Pfanelo dza Mvelele, Vhurereli na Nyambo dza Vhapo
Commission on Gender Equality	Khomishini ya Ndinganyiso nga Mbeu
Commission on Restitution of Land Rights	Khomishini ya Mbuedzedzo ya Pfanelo dza Mavu
Commonwealth of Independent States	Mulanganelo wa Mashango o ḓiimisaho nga oṱhe
Congress of Democrats	Congress of Democrats
Constitution of the Republic of South Africa	Ndayotewa ya Riphabuḽiki ya Afrika Tshipembe
Constitutional Assembly	Buthano ḽa Vhukhethoni
Constitutional Court	Khothe ya Ndayotewa
Council for Scientific and Industrial Research	Khoro ya Ṱhoḓisiso ya zwa Saintsi na zwa Nḓowetshumo
Council of Ministers	Khoro ya Dziminisiṱa
Council of Provinces	Khoro ya Mavundu
Council of Traditional Leaders	Khoro ya Vharangaphanḓa vha sialala
Cradle of Humankind	Cradle of Humankind
Criminal Procedure Act	Criminal Procedure Act
Customs and Excise	mithelo ya nnḓa na ya nga ngomu shangoni
Day of the Covenant	ḓuvha ḽa Mulanga
Democratic Alliance	Democratic Alliance
Democratic Party	Ḽihoro ḽa Democratic 
Department of Agriculture	Muhasho wa vhulimi
Department of Arts and Culture	Muhasho wa Vhutsila na Mvelele
Department of Communications	Muhasho wa Vhudavhidzani
Department of Correctional Services	Muhasho wa Tshumelo dza Ndulamiso
Department of Defence	Muhasho wa Vhupileli
Department of Education	Muhasho wa Pfunzo
Department of Environmental Affairs and Tourism	Muhasho wa zwa Mupo na Vhuendelamashango
Department of Finance	Muhasho wa Gwama
Department of Health	Muhasho wa Mutakalo
Department of Housing	Muhasho wa zwa Dzinnḓu
Department of Justice and Constitutional Development	Muhasho wa Vhulamukanyi na Mveledziso ya Mulayotewa
Department of Labour	Muhasho wa Mishumo
Department of Land Affairs	Muhasho wa zwa Mavu
Department of National Education	Muhasho wa Pfunzo wa Lushaka
Department of Public Enterprises	Muhasho wa Mabindu a Tshitshavha
Department of Public Service and Administration	Muhasho wa Tshumelo ya tshitshavha na Ndaulo
Department of Public Works	Muhasho wa Mishumo ya Tshitshavha
Department of Science and Technology	Muhasho wa Saintsi na Thekhinoḽodzhi
Department of Social Development	Muhasho wa Mveledziso ya Matshilisano
Department of Sport and Recreation	Muhasho wa zwa Mitambo na Vhuḓimvumvusi
Department of State	Muhasho wa Muvhuso
Department of Trade and Industry	Muhasho wa Mbambadzo na Nḓowetshumo
Department of Transport	Muhasho wa Vhuendi
Department of Water Affairs	Muhasho wa zwa Maḓi
Department of Water Affairs and Forestry	Muhasho wa zwa Maḓi na Maḓaka
Deputy Speaker	Mufarisamulangadzulo
Deputy Speaker of Parliament	Mufarisamulangadzulo wa Phalamennde
Development Bank of Southern Africa	Bannga ya Mveledziso ya Tshipembe ha Afrika
Director of Public Prosecution	Mulangi wa Vhutshutshisi ha Lushaka
Director of Public Prosecutions	Mulangi wa Vhutshutshisi ha Lushaka
Dutch Reformed Church	Kereke ya Dutch
Eastern Cape	Eastern Cape
Employment Equity Act	Employment Equity Act
Environmental Impact Assessment	Tsedzuluso ya Masiandaitwa a Mupo
European Union	European Union
Executive Council	Khorotshitumbe
Financial and Fiscal Commission	Khomishini ya zwa masheleni
Fire Protection Association	Dzangano ḽa Tsireledzo ya Mulilo
First World	Mashango a vhukovhela
First World War	Ndwa ya u Thoma ya Ḽifhasi
Foundation for Creative Arts	Tshiimiswa tsha zwa Vhutsila
Free State	Free State
Free State Stadium	Siṱediamu tsha Free State
Freedom Charter	Thendelonzwiwa ya Mbofholowo
Freedom Day	Ḓuvha ḽa mbofholowo
Freedom Front	Freedom Front
Gauteng Provincial Government	Muvhuso wa Vundu ḽa Gauteng
Government of National Unity	Muvhuso wa Vhuthihi ha Lushaka
