ABET	IABET; 
ACH	IACH; 
ANC	IANC; 
APRIL	uAprili; 
AU	IAU; 
Achebe	uAchebe; 
Adam	uAdam; 
Africa	iAfrika; 
Africa's	eyeAfrika; 
African	umAfrika; 
African-American	umMelika ongumAfrika; 
Africans	ama-Afrika; 
Afrikaans	isiBhulu; 
Ahmed	uAhmed; 
Albert	uAlbert; 
Alexander	uAlexander; 
Alexandra	uAlexandra; 
Alfred	uAlfred; 
America	iMelika; 
American	umMelika ; 
Andre	uAndre; 
Andrew	uAndrew; 
Angeles	iAngeles; 
Angola	iAngola; 
Apr	uApr; 
April	u-Apreli;  uAprili; 
Arab	umArabhu; 
Arcadia	eArcadia; 
Asian	umAsiya; 
Audios	 izixhobo zesandi; izixhobo ezivakalayo; 
Auditor	umvavanyi wesandi; umphicothi-zincwadi ; umphulaphuli-zandi; 
Australia	iAustralia; 
Austria	iAustria; 
Ave	umbuliso; 
BBC	IBBC; 
BRICS	IBRICS; 
Baba	usana; 
Bantu	abantu; 
Bay	igqabi lomthi elisisiqholo;  itheku; ukuthintela; 
Beginner's	eyoqalayo; 
Berlin	eBerlin; 
Bertha	uBertha; 
Blatter	uBlatter; 
Bloemfontein	iBloemfontein; 
Boer	uMfama; 
Botha	uBotha; 
Botswana	eBotswana; 
Brazil	iBrazili; 
Britain	iBrithani; 
British	eyaseBrithani; 
Burundi	eBurundi; 
CEOs	iiCEO;  amaGosa aPhezulu oPhumezo; 
CHAN	UCHAN; 
CNS	ICNS; 
COP	ICOP; 
CPA	ICPA; 
CPC	ICPC; 
CPT	ICPT; 
Canada	iKhanada; 
Cannes	eCannes; 
Caribbean	iCaribbean; 
Carnegie	iCarnegie; 
Castle	inqaba; iCastle; 
Cedar	umsedare; 
Chairman	uSihlalo; 
Charlotte	uCharlotte; 
Chinese	umTshayina; 
Chinua	uChinua; 
Christian	 uMkristu;  yobuKristu; umKrestu; 
Christmas	iKrismesi; 
Clerks	ooNobhala; 
Cllr	uCeba; 
Coetzee	uCoetzee; 
Commissioner	uMgunyaziswa; 
Confederations	iiMbumba;  iiManyano; 
Congo	eCongo; 
Cuba	iCuba; 
Cyril	uCyril; 
DBE	IDBE;  ISEBE LEMFUNDO ESISISEKO; 
DECEMBER	EYOMNGA; UDISEMBA; 
DG	 UMPHATHI-JIKELELE; UDG; 
DRC	IDRC; 
DSO	IDSO; 
Danny	uDanny; 
David	uDavid; 
Dec	uDis; 
December	uDisemba;  eyoMnga; 
Deregister	ukucima ubhaliso; 
Desmond	uDesmond; 
Dome	iDome; uphahla olungqukuva; 
Dominican	iDominican; 
Dr	uGqr; 
Drakensberg	uLundi; 
Dutch	iDutch; 
EC	 empuma-kapa; EEC; 
EFF	IEFF; 
Eddie	uEddie; 
Edinburgh	eEdinburgh; 
Elizabeth	uElizabeth; 
Ellen	uEllen; 
Emmanuel	uEmmanuel; 
England	iNgilani; 
English	isiNgesi; 
Ethiopia	iEthiopia; 
Europe	iYurophu; 
European	yaseYurophu;  umYurophu; 
Excellency	Mhlekazi; 
FEBRUARY	 eyoMdumba; uFebruwari; 
FRANCOIS	UFRANCOIS; 
FRIDAY	ULWESIHLANU; 
Feb	uFeb; 
February	 eyoMdumba; uFebruwari; 
Federal	uManyano; 
Filter	hluza; 
Florence	eFlorence; 
Fort	iNqaba; 
France	iFransi; 
Francis	uFrancis; 
Francois	uFrancois; 
French	iFrench; 
Friday	 lwesiHlanu; uLwesihlanu; 
Fridays	ooLwesihlanu; 
GB	IGB; 
GDP	IGDP; 
Gandhi	uGandhi; 
Gauteng	eGauteng; 
Gazette	iGazethi; 
George	uGeorge; 
German	iJamani; 
Germany	iJamani; 
Ghana	eGhana; 
Gina	uGina; 
Glossary	uLuhlu lweenkcazelo; 
God	uThixo; 
Guardian	uMlondolozi; 
HIV-positive	une-HIV; 
Hague	iHague; 
Handbook	iNcwadi yesikhokelo; 
Harare	eHarare; 
Hawks	ooKhetshe; iiHawk; 
Helen	uHelen; 
Hon	Obekekileyo; 
Howard	uHoward; 
Hugh	uHugh; 
Humphreys	ooHumphrey; 
I'm	ndi; 
ICT	I-ICT; 
India	eIndiya; 
Indian	umIndiya; 
Infecting	phembelelayo; sulelayo; 
Interjections	izigaxelo; izikhuzo; 
Islamic	isi-Islam; 
JANUARY	EYOMQUNGU; UJANUWARI; 
JULY	UJULAYI; EYEKHALA; 
JUNE	EYESILIMELA; UJUNI; 
Jacob	uYakobu; 
James	uJames; 
Jan	uJan; 
January	eyoMqungu;  uJanuwari; 
Japan	iJapan; 
Jewish	EyamaJuda; 
Joe	uJoe; 
Johannes	uJohannes; 
Johannesburg	iJohannesburg; 
John	uJohn; 
Johnson	uJohnson; 
Jonathan	uJonathan; 
Jordan	uJordan; 
Joseph	uYosefu; 
Jul	uJul; 
Julius	uJulius; 
July	uJulayi;  eyeKhala; 
Jun	UJUN; 
June	 eyeSilimela; uJuni; 
Kenya	eKenya; 
Keyword	intetho engundoqo; 
Kimberley	eKimberley; 
Kingsley	uKingsley; 
Korea	eKorea; 
Kruger	uKruger; 
KwaZulu-Natal	eKwaZulu-Natala; 
Kyoto	eKyoto; 
LIS	ILIS; 
Layla	uLayla; 
Lesotho	iLisuthu; 
LinkedIn	iLinkedln; 
Lisa	uLisa; 
London	eLondon; 
Lotteries	iiLotho; 
Lotto	iLotho; 
Lulu	uLulu; 
Luthuli	uLuthuli; 
MONDAY	UMVULO; 
MP	IMP; 
MPs	IIMP; 
MR	MNU; 
Mack	uMack; 
Madam	Nkosikazi; 
Mali	eMali; 
Mama	uMama; 
Mandela	uMandela; 
Mandela's	ekaMandela; 
Manuel	uManuel; 
Mar	uMar; 
Max	uMax; 
Maya	uMaya; 
Mayor	uSodolophu; 
Mbeki	uMbeki; 
Meanwhile	xeshikweni; 
Methodist	iWesile; 
Michael	uMichael; 
Miriam	uMiriam; 
Mme	Nkskz; 
Monday	uMvulo; 
Monterrey	eMonterrey; 
Moscow	eMoscow; 
Moses	uMoses; 
Mourns	ukuzilela; 
Mpumalanga	Empumalanga; 
Mr	Mnu; 
Mrs	Nkskz; 
NB	 QAPHELA; QWALASELA; 
NCR	INCR; 
NOVEMBER	uNovemba; EYENKANGA; 
Nadine	uNadine; 
Namibia	iNamibia; 
Natal	iNatala; 
Ndebele	isiNdebele; 
Neal	uNeal; 
Nelson	uNelson; 
Nelspruit	eNelspruit; 
Nene	uNene; 
Netherlands	eNetherlands; 
Newtown	eNewtown; 
Nigeria	eNigeria; 
Nigerian	umNigeria; 
Nkandla	eNkandla; 
Nobel	iNobel; 
Nov	uNov; 
November	uNovemba;  eyeNkanga; 
OC	IOC; 
OCTOBER	EYEDWARHA; UOKTOBHA; 
Obama	uObama; 
Oct	uOkt; 
October	 eyeDwarha; uOktobha; 
Offender's	eyomaphuli-mthetho; 
Oliphant	uOliphant; 
Oliver	uOliver; 
Olympic	iOlympic; 
Olympics	iiOlympic; 
Oscar	uOscar; 
PACs	iiPAC; 
PAP	IPAP; 
PC	IPC; 
Pan	iPan; 
Paris	eParis; 
Parliament's	eyePalamente; 
Paul	uPaul; 
Pele	uPele; 
Peter	uPeter; 
Petersen	uPetersen; 
Pietermaritzburg	ePietemaritzburg; 
Postpones	urhoxisa; 
Presidency	uBongameli; 
President's	eyoMongameli; 
Pretoria	ePitoli; ePretoria; 
Prince	 umlawuli welizwe elincinane; iNkosana; 
Pringle	uPringle; 
Prof	uNjingalwazi; 
Protector	uMkhuseli; 
RSVP	NCEDA UPHENDULE; 
Reginald	uReginald; 
Registrar	uMbhalisi; 
Rejoice	gcoba; vuya; 
Riverside	eRiverside; 
Robert	uRobert; 
Russia	eRashiya; 
Russian	uMrashiya; 
Rustenburg	eRustenburg; 
Ruth	uRuth; 
SA	MZANTSI AFRIKA; 
SA-UK	ISA-UK; 
SALSA	ISALSA; 
SAPS	ISAPS; 
SAX	ISAX; 
SCOPA	ISCOPA; 
SEPTEMBER	EYOMSINTSI; USEPTEMBA; 
SETA	ISETA; 
Sarah	uSarah; 
Sasol	iSasol; 
Saturday	uMgqibelo; 
Secretariat	oonobhala; 
Secretaries	oonobhala; 
Secretaries-General	ooNobhala-Jikelele; 
Self-Governance	uMazilawule; 
Senate	eyeeNgwevu; 
Senegal	eSenegal; 
Sep	uSep; 
September	 uSeptemba; eyoMsintsi; 
Shanghai	eShangai; 
Sharpeville	eSharpville; 
Sinclair	uSinclair; 
Skip	tsiba; 
Smith	uSmith; 
Sol	uSol; 
Soweto	eSoweto; 
Spain	eSpain; 
Stellenbosch	eStellenbosch; 
Steve	uSteve; 
Sudan	eSudan; 
Sunday	iCawa; 
Surname	ifani; 
Susan	uSusan; 
Swaziland	eSwazini; 
Switchboard	iziko leminxeba; 
TUESDAY	NGOLWESIBINI; 
TV	ITV; 
Tambo	uTambo; 
Tanzania	eTanzania; 
Tat	uTat; 
Tata	uTata; 
Tau	uTau; 
Temba	uTemba; 
Thabo	uThabo; 
Thomas	uThomas; 
Thursday	 ulweSine; Lwesine; 
Timbuktu	eTimbuktu; 
Transvaal	iTransvaal; 
Tshwane	eTshwane; 
Tuesday	uLwesibini; 
UK	IUK; 
UN	IUN; 
UNESCO	IUNESCO; 
URL	IURL; 
USA	IUSA; 
Uganda	IUGANDA; 
Umtata	UMTHATHA; 
Unsubscribe	 cima ubhaliso; cima umrhumo; 
Venice	iVenice; 
Victoria	eVictoria; 
WEDNESDAY	NGOLWESITHATHU; 
Walter	uWalter; 
Wednesday	uLwesithathu; 
William	uWilliam; 
Williams	ooWilliam; 
Wits	eWits; 
Witwatersrand	iWitwatersrand; 
Xhosa	isiXhosa; 
York	eYork; 
Yvonne	uYvonne; 
Zambia	eZambia; 
Zimbabwe	eZimbabwe; 
Zimbabwean	uMzimbabwe; 
ability	isakhono;  ukuba nako; 
able	nakho; ninakho, unakho; 
about	ngase; malunga; 
above	ngaphezulu; 
above-mentioned	exeliweyo ngentla; 
abroad	phesheya; 
absence	ukungabikho; 
abuse	ukuxhaphaza; 
abused	 tshabhisiwe; phethwe kakubi;  xhatshaziwe; 
academia	amalungu ezifundiswa; 
academic	emfundo ephakamileyo; 
academics	iakademiki; emfundo ephakamileyo; 
academies	 amaziko emfundo ephakamileyo; izikolo zemfundo ephakamileyo; iiakhademi; 
academy	iziko lemfundo ephakamileyo; iakhademi;  isikolo semfundo ephakamileyo; 
accelerate	ukukhawulezisa; 
accelerated	khawulezisile; 
accelerating	ukukhawulezisa; 
acceleration	ukunyuka kwesantya; 
accept	amkela; 
acceptable	eyamkelekayo; 
acceptance	 ukubukwa; ulwamkelo; 
accepted	amkelwe; 
accepting	amkela; 
access	 ukungena kwikhompyutha; ukungena; 
accessed	 ngenile kwikhompyutha; ngenile; 
accessibility	 ukungeneka; ukufikeleleka; 
accessible	ukufikelela; 
accession	 ulongezelelo; ufikelelo; 
accident	ingozi; 
accidents	iingozi; 
acclaim	 ncoma; bonga; thakazela;  qhwaba izandla;  dumisa; 
acclaimed	 dumisile;  qhwabe izandla;  thakazele; bongile;  ncomile; 
accommodate	qhelanisa; hlalisa; 
accommodated	hlalise;  qhelanise; 
accommodation	ukubona;  indawo yokuhlala; 
accompanied	khaphile;  ukhaphe ngesixhobo somculo;  phumelelisile; ubekhona; 
accompany	ukubakhona;  ukukhapha ngesixhobo somculo; 
accord	 ngqinelana; vumelana; 
accordance	ngokungqinelana; 
accorded	ngqinelene;  vumelene; 
according	ngoko; 
account	 i-akhawunti; ityala;  iakhawunti; 
accountability	uxanduva;  uxanduva lokuphendula; 
accountable	ukuba noxanduva lokuphendula; 
accountants	ababhali-zimali; 
accounted	ifakwe kwiakhawunti;  ifakwe kwityala; 
accounting	ucalulo-mali; 
accounts	 iiakhawunti; amatyala; 
accreditation	 uqinisekiso; ulwamkelo; 
accredited	amkelweyo; qinisekisiweyo; 
accruals	izongezeleko; 
accrue	ukwandisa amanani; 
accrued	kwandiswe amanani; 
accumulate	ukunyusa; 
accumulated	kunyuswe; 
accuracy	ukuchaneka;  ukuchana; 
accused	ummangalelwa; 
achieve	phumelela; 
achieved	phumelele; 
achievement	impumelelo; 
achievements	iimpumelelo; 
achieving	phumelela; 
acknowledge	ukuvuma; 
acknowledged	uvumile; 
acknowledges	ukuvuma; 
acquire	fumana;  ukurhwaphiliza; 
acquired	 uzuzile; ufumene; 
acquisition	ufumano;  imfuyo; inzuzo; 
act	 iqonga lemidlalo;  linganisa;  dlala eqongeni;  isenzo; umthetho; 
acted	dlale eqongeni;  wenzisile;  udlalile; ulinganisile;  udlale kwiqonga lemidlalo; 
acting	bambela; 
action	intshukumo; 
actions	iintshukumo; 
actively	 phaphileyo; khaliphileyo;  sebenzayo;  khutheleyo; 
activism	 ukuphapha; ubukhuthali;  ukuqabuka; ubukhalipha; 
activists	abazabalazi; 
activities	imisebenzi; 
activity	umsebenzi; 
actor	umdlali;  umdlali weqonga; 
actors	abadlali;  abadlali beqonga; 
actress	umdlali weqonga wasetyhini; 
acts	 udlala kwiqonga lemidlalo; wenzisile; dlala eqongeni;  udlalile;  ulinganisile; 
actual	eyona; 
actually	 ezinyanisweni; koko;  ngokwenyaniso;  ngokwenene; 
ad-hoc	lungiselelwe ijongo ethile; enzelwe injongo ethile; 
add	dibanisa;  yongeza; 
added	dityanisiwe;  yongeziwe; 
adding	dibanisa;  yongeza; 
additional	okongeziweyo; 
address	idilesi; 
addressed	ifakwe idilesi; 
addresses	ufaka idilesi; 
addressing	ukufaka idilesi; 
adds	dibanisa;  yongeza; 
adequate	anele; 
adequately	 ngokulingeneyo; ngokwaneleyo;  ngokufaneleyo; 
adhere	landela; 
adherence	ukulandela; 
adjourn	misela elinye ixesha; 
adjourned	miselwe elinye ixesha; 
adjudication	ubugwebi; isigwebo; 
adjust	lungelelanisa;  ukulungelelanisa ityala; 
adjusted	kulungelelaniswe ityala; lungelelaniswe; 
adjustment	ukuziqhelanisa;  ulungelelwaniso; 
adjustments	amalungelelwaniso; 
administer	ukulawula;  lawula; 
administered	kulawulwe; 
administering	ukulawula; 
administration	 ulawulo lokuzalisekiswa komthetho;  ukulawula; ulawulo; 
administrations	iinkqubo zolawulo; 
administrative	eyokuphatha;  eyolawulo; 
administrator	 umlawuli wephondo; umlawuli; 
administrators	 umlawuli wephondo; umlawuli; 
admissible	 evumelekileyo; eyamkelekileyo; 
admission	 imvumo-tyala; ukwamkela;  ulwamkelo; 
admit	vuma; 
admitted	vumile; 
adopt	ukwenza ukuba ngowakho;  amkela njengomntwana wakho; 
adopted	ukwenza ukuba ngowakho;  amkela njengomntwana wakho; 
adopting	ukwenza ukuba ngowakho;  amkela njengomntwana wakho; 
adoption	ukwamkelwa njengomntwana; 
adoptive	 omisa njengomntwana; owamkela njengomntwana ; 
adopts	ukwenza ukuba ngowakho;  amkela njengomntwana wakho; 
adult	umntu omdala; 
adults	abantu abadala; 
advance	 qhubela phambili; phambili;  imali enikezwa ngaphambi kwexesha; 
advancement	inkqubela-phambili; 
advances	 qhubela phambili; phambili;  imali enikezwa ngaphambi kwexesha; 
advancing	 qhubela phambili; phambili;  imali enikezwa ngaphambi kwexesha; 
advantage	uncedo; 
advantages	amancedo; 
advent	ukuza;  ukufika; 
adverse	 enembandezelo;  enobutshaba; engalunganga;  enamashwa;  enobubi;  echaseneyo; 
adversely	 ngembandezelo; ngobutshaba;  ngobubi;  ngokungalunganga; ngokuchaseneyo; 
adversity	 imbandezelo;  amashwa;  ubuhlwempu; ubunzima;  ububi; 
advertise	papasha;  -azisa; 
advertised	azisile; papashile; 
advertisement	intengiso; 
advertising	ukwazisa; 
advice	ingcebiso;  icebo; 
advise	 cebisa;  luleka; ukucebisa;  azisa; 
advised	 lulekilwe; azisiwe; cetyisiwe; 
adviser	umeluleki;  umazisi; umcebisi; 
advisers	abacebisi;  abaluleki;  abazisi; 
advisor	umcebisi; 
advisories	abacebisayo; 
advisors	abacebisi;  abaluleki;  abazisi; 
advocacy	inkxaso; 
advocate	 igqwetha lejaji; xhasa;  mela; 
advocates	xhasa;  mela;  amagqwetha ejaji; 
affairs	imicimbi; 
affect	-enza ukuba;  phembelela; 
affected	ukuchaphazeleka; 
affecting	-enza ukuba;  phembelela; 
affects	 iphembelela; ichaphazela; 
affidavit	ingxelo efungelweyo; 
affirm	 ngqina; ukungqina; 
affirmation	ingqinisekiso; 
affirming	 ngqina; ukungqina; 
affordable	efikelelekayo; 
afforded	ukubanakho; 
aforementioned	ekhankanyiweyo ngaphambili; 
aforesaid	exeliweyo ngaphambili; 
after	emva; 
afternoon	 emva kwemini; emalanga; 
again	kwakhona; 
against	chasene;  ngqubana; 
age	 iminyaka;  imihla; ubudala;  luphala; 
aged	 umntu omdala; ubudala;  ixhego;  ukwaluphala; 
agencies	abenzeli;  abaphatheli; 
agency	abalungiseleli; 
agent	 isenzisi;  isiguquli; umenzi;  i-arhente; 
agents	 isenzisi; abenzeli; ii-arhente;  iziguquli; 
ages	 iminyaka;  imihla; ubudala;  luphala; 
aggregate	umyinge; 
aggrieved	ukunganeliseki; 
ago	 kade;  kukade; kudala; 
agree	vuma; 
agreed	vumile; 
agreement	isivumelwano; 
agreements	izivumelwano; 
agrees	uvuma; 
agricultural	zolimo; 
agriculture	ezolimo;  ulimo; 
ahead	 qhubela phambili;  ixesha elizayo; ngaphambili; 
aid	uncedo;  siza; 
aids	siza;  amancedo; 
aim	 jolisa; injongo; 
aimed	joliswe; kujongwe; 
aims	 ijolise; iinjongo; 
air	umoya;  bethisa ngomoya; 
aircraft	 inqwelo yomoya;  inqwelomoya; inqwelo-moya; 
airport	isikhululo seenqwelo-moya; 
airports	izikhululo zenqwelomoya; izikhululo zeenqwelo-moya; 
albeit	 nakuba; nangona; 
alcohol	 i-alkoholi;  isinxilisi; ialkoholi; 
alert	lumkisa; 
align	lungelelanisa; 
aligned	lungelelanisiwe; 
alignment	ulungelelwano; 
alike	 fanayo; ngokufanayo; 
all	bonke;  onke;  ngokupheleleyo; 
allegation	 isityholo; ukutsho; 
allegations	izityholo; 
alleged	osolwayo; 
allegedly	ngokutsho; 
alleviate	ukudambisa; 
alleviation	udambiso; ukudambisa; 
alliance	umanyano;  umanyano lwabancedani; 
allocate	 abela; ukwaba;  -aba; 
allocated	 abela; ukwabiwa;  -aba; 
allocation	ulwabiwo; 
allocations	izabiwo; 
allow	ukuvumela; 
allowance	isibonelelo; 
allowances	izibonelelo; 
allowed	uvunyelwe; 
allowing	ukuvumela; 
allows	uvumela; 
almost	phantse; 
alone	wedwa;  odwa; 
along	kunye; 
alongside	ecaleni kwa-; 
already	se; sele; 
also	kananjalo;  kanjalo; 
alter	 guqula; tshintsha; 
alternate	 nokutshintsha-tshintsha;  ukuqakatha; bolekisana; 
alternative	enye indlela; 
although	 nakuba; nangona; 
always	 soloko;  lonke ixesha; rhoqo;  qho;  ngamaxa onke; 
am	ndi-; 
ambassador	ummeli-sizwe;  unozakuzaku; 
ambassadors	oonozakuzaku; abameli-sizwe; 
ambient	kuthe lwale; izirhanqo; 
ambit	umda; 
amend	ukulungisa;  ukuhlomela; 
amended	kuhlomelwe;  kulungisiwe; 
amending	ukulungisa;  ukuhlomela; 
amendment	isilungiso; 
amendments	izilungiso; 
amends	ulungisa;  uhlomela; 
amnesty	uxolelo mabanjwa; 
among	phakathi kwezinye;  phakathi kwabanye; 
amongst	phakathi kwezinye;  phakathi kwabanye; 
amount	 fikelela; ubungakanani;  isambuku; 
amounted	yenze; fikelele; 
amounting	 fikelela; yenza; 
amounts	fikelela; izimbuku; 
an	into; 
analogue	into efana nenye; 
analyse	 ukuhlahlela; hlalutya; 
analysed	hlalutyiwe; kuhlahlelwe; 
analyses	amahlahlelo; 
analysing	 ukuhlahlela; ukuhlalutya; 
analysis	uhlahlelo; 
ancestor	ukhokho;  isinyanya; 
ancestors	 ookhokho; izinyanya; 
ancient	 -mandulo; mandulo; 
and	kunye, ne; 
animal	 irhamncwa; isilwanyana; 
animals	izilwanyana;  amarhamncwa; 
annex	ukuhlomela; 
annexure	 isihlomelo; ufakelo;  isongezo; 
anniversary	isikhumbuzo sonyaka; 
announce	yazisa; 
announced	yazisile; 
announcement	isaziso; 
announcements	izaziso; 
announces	yazisa; 
annual	unyakamnye;  yeminyaka le; 
annually	unyaka nonyaka;  eminyaka ngeminyaka; 
annum	unyaka; 
another	enye; 
answer	impendulo;  isiphumo; 
answers	iziphumo;  iimpendulo; 
anthem	umhobe; 
anti-apartheid	ukuliwa kocalucalulo; 
anti-corruption	 ukuchasana nokungcola; ukuchasana nenkohlakalo; 
anti-pass	ukuchasana namapasi;  ukuchasana nepasi; 
anticipated	cinga kwangaphambili;  yenza kwangaphambili enza kuqala; 
any	 nayiphina; nayiphi; 
anyone	nabanina; 
anything	nantonina;  nayiphina into; 
apart	bucala; 
appeal	 ukubongoza;  ukubhena; isibheno; 
appealed	 velile; bhenile;  bongozile; 
appeals	izibheno;  izibongozo; 
appear	ukuvela;  ukubonakala; 
appearance	 inkangeleko; ukuvela; 
appeared	bonakele; 
appearing	ukuvela;  ukubonakala; 
appears	 ubonakala; uvela; 
appellant	umbheni; 
appendix	ithunjana; 
applaud	 ncoma; bonga; thakazela;  qhwaba izandla;  dumisa; 
applicable	elungele; 
applicant	umceli; 
applicants	umceli; 
application	 ukusebenzisa;  usetyenziso;  ukusetyenziswa;  ukusetyenziswa komthetho ngusompempe; isicelo; 
applications	 izisetyenziswa; izicelo; iintsebenziso;  ukusetyenziswa komthetho ngusompempe;  iinkqubo zekhompyutha; 
applied	ukusetyenziselwa; 
applies	cela; 
apply	ukucela; 
applying	ukucela; 
appoint	ukuqesha; 
appointed	ukuqesha; 
appointing	ukuqesha; 
appointment	ukuqeshwa; 
appointments	 amadinga; imimiselo;  iingqesho; 
appoints	ukuqesha; 
appreciate	ukuncoma;  bulela; 
appreciated	ukuncoma;  bulela; 
appreciates	ukuncoma;  bulela; 
approach	ukungena; 
approached	ngenile; 
approaches	ngena; 
appropriate	efanelekileyo;  fanelekileyo; 
appropriated	fanelekisile; 
appropriately	fanelekileyo; 
appropriation	 uhlahlo-mali; ukubekelwa; 
appropriations	amahlahlo-mali;  izabiwo; 
approval	imvume; 
approve	ukuvuma; 
approved	ukuvuma; 
approximately	 ngokusondeleyo; malunga; 
arbitration	ulamlo; 
arbitrator	umlamli; 
architect	umyili wezakhiwo; 
architects	izazi ngokwakhiwa kwezindlu;  abayili bezakhiwo; 
architectural	eyezakhiwo; 
architecture	ubugcisa bokwakha; 
archival	eyolondolozo lezibhaliweyo; 
archive	indawo yokulondoloza izibhalo ezibalulekileyo; 
archives	iindawo zokulondoloza ezibhaliweyo; 
area	ummandla;  inxalenye; 
areas	imimandla;  iinxalenye; 
arena	ibala; 
argue	ukuxoxa; 
argued	 xoxile; phikisene; 
argument	 impikiswano; ingxoxo; 
arguments	 iimpikiswano; iingxoxo; 
arise	 vela; ukusuka;  ukuma;  phakama;  ukuphuma; 
arises	 liyaphuma;  uyema; uyavela; uyasuka;  uyaphakama; 
arising	 esukayo;  ephakamayo; evelayo;  emayo;  ephumayo; 
arm	ingalo; 
armed	xhobile; exhobileyo;  xhotyisiwe; 
arms	izikhali; 
arose	phakeme;  mile; sukile;  vukile; 
arrange	ukucwangcisa;  cwangcisa; 
arranged	cwangcisiwe; kucwangcisiwe; 
arrangement	amalungiselelo; 
arrangements	amalungiselelo; 
array	misa ngezintlu; 
arrest	 bamba; ukubamba; 
arrested	 bamba; ukubamba; 
arrival	ukufika; 
arrive	 fika; ukufika; 
arrived	fikile; 
art	 umsebenzi wobugcisa; ubugcisa; 
artefacts	izinto ezenziwe ngezandla;  izinto eziyilwe ngumntu; 
article	 inqaku; impahla; 
articles	 amanqaku; iimpahla; 
articulate	 ukubiza ngokucacileyo; cacisa; 
articulated	bize ngokucacileyo;  cacisile; 
artist	igcisa; 
artistic	yobugcisa; 
artists	amagcisa; 
arts	 ubungcibi; ubuchule;  imisebenzi yobugcisa;  ubugcisa; 
artwork	 umsebenzi wobugcisa; imifanekiso nemizobo esencwadini;  imifanekiso nemizobo kushicilelo; 
artworks	imifanekiso nemizobo esencwadini;  imisebenzi yobugcisa;  imifanekiso nemizobo kushicilelo; 
as	 njengoko; xa; njenga;  kuba; 
ascertain	qononondisa;  qondisisa; qinisekisa; 
aside	 ecaleni; bucala; 
ask	buza; 
asked	buzile; 
asking	buza; 
asks	buza; 
aspect	isolotya; 
aspects	amasolotya; 
aspiration	 ulangazelelo;  uvuthelo; ukutsala; 
aspirations	amalangazelelo; imitsalane; 
assault	uhlaselo; 
assembly	 indlu yowiso-mthetho; ingqungquthela; 
assented	vumele;  vumile; 
assert	 ngqina;  banga; ukutsho; 
assess	 ukuxabisa; hlola; 
assessed	hlolile;  xabisile; 
assesses	 ukuxabisa; hlola; 
assessing	 ukuxabisa; hlola; 
assessment	uhlolo; 
assessments	amaxabiso; 
assessor	umncedisi-jaji; 
assessors	abancedisi-jaji; 
assets	onako wena; 
assign	 misela;  nyula;  nika; yaba; 
assigned	 nyuliwe;  nikiwe; yabelwe; miselwe; 
assignment	umsebenzi wophando; 
assist	ncedisa; 
assistance	uncedo; 
assistant	isandla;  umncedisi; 
assisted	uncediso; 
assisting	ukuncedisa; 
assists	ukuncedisa; 
associate	 ukunxulumanisa; iqabane; 
associated	 ukunxulumanisa; iqabane; 
association	unxulumano; 
associations	izinxulumano; 
assume	 thatha ngokungathi; cinga;  qala umsebenzi; 
assumed	qale umsebenzi; cinge;  thathe ngokungathi; 
assumptions	izenziso; iingcinga; 
assurance	isiqinisekiso;  isithembiso; 
assure	 thembisa; qinisekisa; 
assured	 thembisile; qinisekisile; 
astronomy	inzululwazi ngeenkwenkwezi; 
at	e-; 
atmosphere	iatmosfera;  umoya ongqonge umhlaba; 
atmospheric	 eyomoya ojikeleza umhlaba; umoya; eyeastmosfera; 
attach	ukudibanisa;  ukuthimba; 
attached	ukudibanisa;  ukuthimba; 
attachment	 unamatheliso; udibaniso;  uthimbo; ubuhlobo; 
attack	 hlasela; uhlaselo;  ukuhlasela; 
attacks	ukuhlasela; amahlaselo; 
attain	ukufikelela; 
attained	ukufikelela; 
attainment	ufikelelo; 
attempt	 ukulinga; ilinge; 
attempted	 lingile; zamile; 
attempts	amalinge; 
attend	ukubakho; 
attended	ukubakho; 
attending	ukubakho; 
attention	inyameko; 
attitude	umoya;  isimo; 
attitudes	izimvo;  izimo; 
attorney	igqwetha; 
attorneys	amagqwetha; 
attract	tsala; 
attracted	umtsalane; 
attribute	isimo; 
attributed	balelwe;  phawulelwe; 
auction	ifandesi; 
audience	 ababukeli; abaphulaphuli; 
audiences	 ababukeli; abaphulaphuli; 
