Act of Parliament	Umthetho wePalamente
Adult Basic Education and Training	iMfundo eSisiseko yabaNtu abaDala noQeqesho
Africa Institute of South Africa	i-Africa Institute of South Africa
African American	umAfrika waseMelika
African Christian Democratic Party	i-African Christian Democratic Party
African Development Bank	i-African Development Bank
African Diaspora	i-African Diaspora
African Economic Community	i-African Economic Community
African National Congress Youth League	i-African National Congress Youth League
African Union	i-African Union
African country	Ilizwe laseAfrika
African language	Ulwimi lwesiAfrika
African nationalist	owohlanga lwaseAfrika
African people	Abantu baseAfrika
African renaissance	Uvuselelo lobuAfrika
African state	Ilizwe laseAfrika
African wild cat	ingada
Agricultural Research Council	Ibhunga loPhando lwezoLimo
Ambassador of	Ummeli-sizwe wase…
Arts and Culture Trust	Itrasti yobuGcisa neNkcubeko
Basic Conditions of Employment Act	Imiqathango yesiSeko yoMthetho weNgqesho
Black Economic Empowerment	Uxhobiso lwabaMnyama lwezoQoqosho
Board of Directors	Ibhodi yabaLawuli
British High Commissioner	Umgunyaziswa oPhezulu waseBrithani
Broad-based Black Economic Empowerment Act	Umthetho woGunyaziso lwezoQoqosho osekwengokuBanzi kwabaMnyama
Bureau of Heraldry	Iziko leeMbasa namaLungelo
Call of South Africa	Isimemezelo soMzantsi Afrika
Central Energy Fund	Ingxowamali yaMandla yeSizwe
Chamber of Mines	Iqumrhu lemiGodi
Chief Executive Officer	Igosa loPhumezo eliyiNtloko
Chief Justice	Ijaji eyoNgameleyo
Christian Democratic Party	i-Christian Democratic Party
Civil Rights Movement	Umbutho wamaLungelo oLuntu
Coat of Arms	Imbasa
Commission for the Promotion and Protection of the Rights of Cultural, Religious	Ikhomishini yeNkuthazo noKhuselo lwamaLungelo ezeNkcubeko, ezoKholo
Commonwealth of Independent States	i-Commonwealth of Independent States
Congress of Democrats	i-Congress of Democrats
Constitution of the Republic of South Africa	Umgaqosiseko weRiphablikhi yoMzantsi Afrika
Constitutional Assembly	i-Constitutional Assembly
Constitutional Court	Inkundla yoMgaqo-siseko
Council for Scientific and Industrial Research	Ibhunga lezeNzululwazi noPhando lwezamaShishini
Council of Ministers	iBhunga labaPhathiswa
Council of Provinces	iBhunga lamaPhondo
Council of Traditional Leaders	iBhunga leNkokheli zeMveli
Cradle of Humankind	Isiseko sesiQalo soLuntu
Criminal Procedure Act	Umthetho weNkqubo yoLwaphulomthetho
Customs and Excise	Iirhafu zeeMpahla nezoNgeniso kwiLizwe
Day of the Covenant	Usuku Lomnqophiso
Democratic Alliance	i-Democratic Alliance
Democratic Party	i-Democratic Party
Department of Correctional Services	iSebe leeNkonzo zoLuleko
Department of National Education	Isebe leSizwe lezeMfundo
Department of Public Service and Administration	iSebe leeNkonzo zoLuntu noLawulo
Department of State	Isebe loMbuso
Deputy Speaker	uSekela Somlomo
Deputy Speaker of Parliament	uSekela Somlomo wePalamente
Director of Public Prosecution	Umlawuli wezoTshutshiso woLuntu
Director of Public Prosecutions	Umlawuli wezoTshutshiso woLuntu
Dutch Reformed Church	iDutch Reformed Church
Eastern Cape	iMpuma-Kapa
Employment Equity Act	Umthetho woBulungisa kwezeNgqesho
Environmental Impact Assessment	Uvavanyo lweFuthe kokusiNgqongileyo
European Union	i-European Union
Executive Council	Ibhunga eliLawulayo
Financial and Fiscal Commission	Ikhomishini yezeMali neRhafu
Fire Protection Association	Umbutho woKhuselo lwezeMililo
First World	Ilizwe eliPhucukileyo
First World War	Imfazwe yokuQala yeHlabathi
Foundation for Creative Arts	Isiseko soYilo lwezeNkcubeko
Free State	iFreyistata
Free State Stadium	Isitediyamu saseFree State
Freedom Charter	i-Freedom Charter
Freedom Day	Usuku lweNkululeko
Freedom Front	i-Freedom Front
Gauteng Provincial Government	Urhulumente wePhondo laseGauteng
Government of National Unity	uRhulumente woBumbano lweSizwe
Heads of Diplomatic Missions	IiNtloko zamaZiko oZakuzo
