ABET	i-ABET; 
ACH	i-ACH; 
AG	i-AG; 
ANC	i-ANC; 
APRIL	u-Apreli; uMbasa; 
AU	i-AU; 
Achebe	u-Achebe; 
Adam	u-Adam; 
Africa	i-Afrika; 
Africa's	i-Afrika; 
African-American	umMelikana ongowokudabuka e-Afrika; 
Africans	aboMdabu; 
Afrikaans	isiBhunu; 
Ahmed	u-Ahmed; 
Albert	u-Albert; 
Alexander	u-Alexander; 
Alexandra	u-Alexandra; 
Alfred	u-Alfred; 
American	umMelikana; 
Andre	u-Andre; 
Andrew	u-Adrew; 
Angeles	i-Angeles; 
Angola	i-Angola; 
Apr	u-Apreli; uMbasa; 
April	uMbasa; 
Arab	i-Arabhu; 
Arcadia	i-Arcadia; 
Asian	owakhe e-Eshiya; 
Audios	imisindo; 
Auditor	Umcwaningimabhuku; 
Australia	i-Australia; 
Austria	i-Austria; 
Ave	 umgwaqo obanzi; indlela enemithi ngalapha nangalapha;  umhubhe; 
BBC	i-BBC; 
BRICS	imbumba yamazwe asathuthuka abizwa ngokuthi i-BRICS; 
Baba	uBaba; 
Bantu	isintu;  abantu; 
Bay	ichweba;  itheku; 
Beginner's	okosaqala; okwemfundamakhwela; 
Berlin	iBerlin; 
Bertha	uBertha; 
Blatter	uBlatter; 
Bloemfontein	iBloemfontein; 
Boer	 iBhunu; umlimi; 
Botha	uBotha; 
Botswana	iBotswana; 
Brazil	iBrazil; 
Britain	iBhrithani; iBritain; 
British	owakhe eBhrithani; owakhe eBritain; 
Burundi	iBurundi; 
CEOs	Izikhulu eziphezulu ezinhlanganweni/ezinkampanini; 
CHAN	i-CHAN; 
CNS	i-CNS; 
COP	i-COP; 
CPA	i-CPA; 
CPC	i-CPC; 
CPT	i-CPT; 
Canada	iCanada; 
Cannes	iCannes; 
Caribbean	okwamaKharibhi; okwesiKharibhi; 
Carnegie	uCarnegie; 
Castle	indlu enkulu eyinqaba; 
Cedar	umsida; 
Chairman	umgcinisihlalo;  usihlalo; 
Charlotte	uCharlotte; 
Chinese	iShayina; 
Chinua	uChinua; 
Christian	okobuKrestu;  iKrestu; 
Christianity	ubuKrestu; 
Christmas	uKhisimusi; 
Clerks	 omabhalane; ababhali; 
Cllr	iKhansela; 
Coetzee	uCoetzee; 
Commissioner	uKhomishana; 
Confederations	ukuhlanganyela ngesivumelwano;  ukusebenzisana ngesivumelwano; 
Congo	iCongo; 
Cuba	iCuba; 
Cyril	uCyril; 
DBE	i-DBE; 
