Act of Parliament	uMthetho WePhalamende
Adult Basic Education and Training	iMfundo Eyisisekelo Noqeqesho  Yabantu Abadala
Africa Institute of South Africa	isikhungo; i-Africa Institute of South Africa
African American	umMelikana odabuka e-Afrika
African Christian Democratic Party	i-African Christian Democratic Party
African Development Bank	iBhange Lezentuthuko Yase-Afrika
African Diaspora	ama-Afrika asezinze kwamanye amazwekazi
African Economic Community	inhlangano yezentuthuko yamazwe ase-Afrika; i-African Economic Community 
African National Congress	i-African National Congress
African National Congress Youth League	uphiko lwentsha lwe-African National Congress
African Union	iNhlangano Yobumbano Lwamazwe Ase-Afrika
African country	izwe lase-Afrika
African language	ulimi lwase-Afrika
African nationalist	okhulumela ukuzimela kwe-Afrika ngokwezombusazwe
African people	abantu base-Afrika
African renaissance	ukuvuselelwa kobu-Afrika
African state	izwe lase-Afrika
African wild cat	impaka
Agricultural Research Council	UMkhandlu Wocwaningo Lwezolimo 
Ambassador of	inxusa lase-
Arts and Culture Trust	isiKhwama Sezobuciko Namasiko
Basic Conditions of Employment Act	uMthetho Wemisebenzi Yezimo Eziyisisekelo
Black Consciousness Movement	Umbhidlango Ngokuzigqaja Ngokuba mnyama
Black Economic Empowerment	ukuthuthukiswa kwabamnyama kwezomnotho
Board of Directors	IBhodi Labaqondisi
British High Commissioner	uKhomishana Omkhulu WaseBhrithani
Broad-based Black Economic Empowerment Act	uMthetho Wokuthuthukiswa KwabaNsundu Kwezomnotho Ngokubanzi
Bureau of Heraldry	ihhovisi lezemicimbi; i-Bureau of Heraldy
Call of South Africa	isicelo seNingizimu Afrika
Central Energy Fund	Inkampani yezamandla; i-Central Energy Fund
Chamber of Mines	Inhlangano yabaqashi bemboni yezimayini; i-Chamber of Mines
Chief Executive Officer	iSikhulu Esiphezulu
Chief Justice	iJaji Eliyinhloko
Christian Democratic Party	inhlangano yezombusazwe; iChristian Democratic Party
Civil Rights Movement	inhlangano elwela amalungelo omphakathi; i-Civil Rights Movement
Coat of Arms	isifanekisophawu esiyisiphandla sesihlangu
Commission for Conciliation, Mediation and Arbitration	iKhomishana Yokubuyisana, Ukuxazulula Nokwahlulela
Commission for the Promotion and Protection of the Rights of Cultural, Religious	iKhomishana Yokukhuthaza Nokuvikela Amalungelo Amasiko, Ezenkolo Nezilimi Emiphakathini Eyahlukene
Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities	iKhomishana Yokukhuthaza Nokuvikela Amalungelo Amasiko, Ezenkolo Nezilimi Emiphakathini Eyahlukene
Commission on Gender Equality	iKhomishana Yezokulingana Ngokobulili
Commonwealth of Independent States	inhlangano yezifunda; iCommonwealth of Independent States
Congress of Democrats	inhlangano yezombusazwe yaseNamibia iCongress of Democrats
Constitution of the Republic of South Africa	uMthethosisekelo WeRiphabhliki YaseNingizimu Afrika
Constitutional Assembly	uMbuthano Wabahlanganele Ukuhlanganiswa Komthethesisekelo
Constitutional Court	iNkantolo YoMthethosisekelo
Council for Scientific and Industrial Research	uMkhandlu Wocwaningo Lwezesayensi Nezezimboni
Council of Ministers	uMkhandlu WawoNgqongqoshe
Council of Provinces	uMkhandlu Wezifundazwe
Council of Traditional Leaders	uMkhandlu Wabaholi Bendabuko
Cradle of Humankind	indawo yamagugu; i-Cradle of Humankind
Criminal Procedure Act	uMthetho Olawula Ubugebengu
Customs and Excise	intela yempahla ekhiqizwa ezweni neyempahla evela kwamanye amazwe
Day of Reconciliation	Usuku Lokubuyisana
Day of the Covenant	Usuku lwesivumelwano
Democratic Alliance	inhlangano yezombusazwe iDemocratic Alliance
Democratic Party	inhlangano yezombusazwe iDemocratic Party
Department of Agriculture	uMnyango Wezolimo
Department of Arts and Culture	uMnyango Wezobuciko Namasiko
Department of Communications	uMnyango Wezokuxhumana
Department of Defence	uMnyango Wezokuvikela
Department of Education	uMnyango Wezemfundo
Department of Finance	uMnyango Wezezimali
Department of Home Affairs	uMnyango Wezindaba Zasekhaya
Department of Justice	UMnyango WeZomthetho
Department of Justice and Constitutional Development	uMnyango Wezobulungiswa Nokuthuthukiswa Komthethosisekelo
Department of Land Affairs	uMnyango Wezindaba Zomhlaba
Department of National Education	uMnyango Wezemfundo KuZwelonke
Department of Public Service and Administration	uMnyango Wezemisebenzi Kahulumeni Nokuphathwa Kwayo
Department of Public Works	uMnyango Wezemisebenzi Yomphakathi
Department of Science and Technology	uMnyango Wezesayensi Nobuchwepheshe
Department of Social Development	uMnyango Wezokuthuthukiswa Komphakathi
Department of Sport and Recreation	uMnyango Wezemidlalo Nokungcebeleka
Department of State	uMnyango Kahulumeni
Department of Transport	uMnyango Wezokuthutha
Department of Water Affairs	UMnyango WeZamanzi
Department of Water Affairs and Forestry	uMnyango Wezamanzi Namahlathi
Deputy Speaker	Isekela LikaSomlomo
Deputy Speaker of Parliament	Isekela LikaSomlomo WePhalamende
Director of Public Prosecution	UMqondisi Wokushushiswa Komphakathi 
Director of Public Prosecutions	UMqondisi Wokushushiswa Komphakathi 
Dutch Reformed Church	Ibandla; i-Dutch Reformed Church 
Eastern Cape	iMpumalanga Kapa
Employment Equity Act	uMthetho Wokuqasha Ngokulinganisa
Environmental Impact Assessment	Ukulinganisa Umthelela Kwezemvelo
European Union	iNyunyana Yamazwe AseYurophu
Executive Council	uMkhandlu Weziphathimandla
Financial Services Board	iBhodi lezezimali; i-Financial Services Board
Financial and Fiscal Commission	iKhomishini Yezezimali Zikahulumeni, iFinancial and Fiscal Commission
Fire Protection Association	iNhlangano Yokuvikeleka Emlilweni
First World	iZwe Elithuthuke Ngokwanele
First World War	iMpi Yokuqala Yomhlaba
Foundation for Creative Arts	iNhlangano Yamaciko; i-Foundation for Creative Arts
Free State	iFree State
Free State Stadium	iNkundla Yezemidlalo YaseFree State
Freedom Charter	uSomqulu WeNkululeko
Freedom Day	uSuku LweNkululeko
Freedom Front	inhlangano yezombusazwe iFreedom Front
Gauteng Provincial Government	UHulumeni Wesifundazwe SaseGauteng
Government of National Unity	Uhulumeni Wobumbano
Group Areas Act	uMthetho Wokuhlalisa Ngokobuhlanga
Heads of Diplomatic Missions	iZinhloko Zamanxusa
Health Professions Council of South Africa	uMkhandlu Wemisebenzi Yezempilo WaseNingizimu Afrika
High Court	iNkantolo Enkulu
High Court of South Africa	iNkundla Ephakeme YaseNingizimu Afrika
Horn of Africa	Ingasiqhingi yamazwe ase-Afrika eseNyakatho
House of Assembly	iPhalamende
House of Commons	iNdlu YePhalamende LaseBrithani iHouse of Commons
House of Delegates	iNdlu eyayimele amaNdiya ePhalamende lenqubo yobandlululo
House of Lords	iNdlu YePhalamende LaseBrithani iHouse of Lords
House of Representatives	iNdlu eyayimele amaKhaladi ePhalamende lenqubo yobandlululo
Human Rights Commission	iKhomishini Yamalungelo Esintu
Human Rights Day	uSuku Lwamalungelo Esintu
Human sciences research	ucwaningo ngezabantu
Independent Electoral Commission	Ikhomishani Yokhetho Ezimele
Industrial Development Corporation	isikhungo sezezimboni; i-Industrial Development Coorporation
Information Society and Development	inhlangano yolwazi lwezobuchwepheshe nentuthuko, i-Information Society and Development
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	iNhlangano Yomhlaba Yabasebenzi
International Monetary Fund	iNhlangano Yomhlaba Yezezimali, i-IMF
International Olympic Committee	Ikomiti Lomhlaba Lama-olimpikhi 
International Olympic Committee	Ikomiti lomhlaba lama-Olimpiyadi
International Relations	Ubudlelwano Namazwe Omhlaba
International Telecommunications Union	iNyunyana Yomhlaba Yezokuxhumana Ngezingcingo
Judicial Service Commission	iKhomishana Yemisebenzi Yezobulungiswa
Labour Relations Act	uMthetho Ophathelene Nezabasebenzi
Land Claims Court	iNkantolo Yezibizo Zemihlaba
Language Task Group	iThimba Elimiselwe Ezolimi
Leader of the House	uMholi Wendlu
Leader of the Official Opposition	uMholi Weqembu Elisemthethweni Eliphikisayo
Member of Parliament	Ilungu Lephalamende
Minister of Education	uNgqongqoshe weMfundo
Minister of Justice	uNgqongqoshe weZobulungiswa
Minority Front	inhlangano yezombusazwe; iMinority Front
Municipal Demarcation Board	iBhodi Lokuklanywa Komasipala
NCOP Committee	iKomidi Lomkhandlu Kazwelonke Wezifundazwe
Natal Indian Congress	inhlangano; iNatal Indian Congress
National Agricultural Marketing Council	uMkhandlu Wezokudayiswa Kwezolimo; i-National Agricultural Marketing Council
National Arts Council	Umkhandlu Wezobuciko Kazwelonke
National Arts Festival	Umgidi Wezobuciko Kazwelonke
National Assembly	iSigungu Sikazwelonke
National Commissioner	uKhomishana Kazwelonke
National Council of Provinces Committee	iKomidi Lomkhandlu Kazwelonke Wezifundazwe
National Cultural History Museum	isigcinamagugu; i-National Cultural History Museum
National Environmental Management Act	uMthetho olawula ukuphathwa kwezemvelo; i-National Environmental Management Act
National House of Traditional Leaders	iNdlu Kazwelonke Yabaholi Bendabuko
National Intelligence Agency	iNhlangano Kazwelonke Yezobunhloli
National Marketing Council	uMkhandlu wezokudayisa; i-National Marketing Council
National Monuments Council	uMkhandlu wamatshe esikhumbuzo; iNational Monuments Council
National Party	inhlangano yezombusazwe; iNational Party
National Peace Accord	Isivumelwano Soxolo Sikazwelonke
National Qualifications Framework	uhlaka lwezeziqu; i-National Qualifications Framework
National Revenue Fund	iSikhwama semali engenayo; i-National Revenue Fund
National Swimming Federation	inhlangano yezokubhukuda; i-National Swimming Federation
National Training Board	iBhodi Likazwelonke Lezokuqeqeshwa 
National Women's Day	Usuku Lomama Kuzwelonke
National Youth Commission	iKhomishana Yentsha Kazwelonke
New National Party	inhlangano yezombusazwe; iNew National Party
New Year's Day	uNcibijane
Nkosi Sikelel' iAfrika	ihubo lesizwe; uNkosi Siklelel'i-Afrika
Nobel Peace Prize	uMklomelo; i-Nobel Peace Price
Northern Cape	iNyakatho Kapa
Organisation for African Unity	iNhlangano Yobumbano Lwamazwe Ase-Afrika
Organisation of African	iNhlangano Yobumbano Lwamazwe Ase-Afrika
Organisation of African Unity	iNhlangano Yobumbano Lwamazwe Ase-Afrika
Pan Africanist Congress of Azania	iNhlangano; i-Pan Efricanist Congress of Azania
Pan South African Language Board	iBhodi Lezilimi ZaseNingizimu Afrika
People Against Gangsterism and Drugs	inhlangano yabalwa nobugebengu nezidakamizwa; iPeople Against Gangsterism and Drugs
Perishable Products Export Control Board	iBhodi lemikhiqizo eya kwamanye amazwe; i-Perishable Products Export Control Board
President of the Senate	uMengameli Womkhandlu Wezigele
Pretoria Art Museum	isigcinamagugu; i-Pretoria Art Museum
Pretoria East Cemetery	amaliba asempumalanga nePitoli; i-Pretoria East Cemetery
Prohibition of Mixed Marriages Act	uMthetho Ovimbela Umshado Wezinhlanga Ezahlukene
Provincial Commissioner	uKhomishana Wesifundazwe
Provincial House of Traditional Leaders	iNdlu Yesifundazwe Yabaholi Bendabuko
Public Administration	Ukuphathwa Komphakathi
Public Order Policing	Ukulawulwa Kwezinxushunxushu Emphakathini
Public Protector	uMvikeli Womphakathi
Public Service Commission	iKhomishini elawula umsebenzi womphakathi; i-Public Service Commission
Reconstruction and Development Programme	Uhlelo Lokwakha Kabusha Nentuthuko
Reserve Bank	iBhange LoMbuso
SA Library for the Blind	umtapo wolwazi waseNingizimu Afrika wabangaboni emehlweni
San rock painting	imifanekiso yasematsheni yamaSani
Second World War	iMpi Yesibili Yomhlaba
